Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
D1,22/05/2020,19:30,Hertha,Union Berlin,,,,,,,2.3,3.4,3,2.35,3.3,3.1,2.3,3.3,3.15,2.43,3.4,3.16,2.35,3.4,3,2.4,3.4,3,2.45,3.54,3.28,2.36,3.37,3.09,1.9,1.9,1.89,2,1.95,2.04,1.88,1.94,-0.25,2.06,1.84,2.08,1.85,2.1,1.89,2.04,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,23/05/2020,14:30,Freiburg,Werder Bremen,,,,,,,2.15,3.75,3,2.2,3.6,3.1,2.25,3.5,3.1,2.21,3.73,3.2,2.2,3.6,3.2,2.2,3.7,3.13,2.28,3.8,3.36,2.19,3.65,3.17,1.72,2.1,1.71,2.23,1.78,2.27,1.71,2.15,-0.25,1.93,1.97,1.93,1.98,1.96,2,1.91,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,23/05/2020,14:30,M'gladbach,Leverkusen,,,,,,,2.3,3.75,2.75,2.4,3.7,2.75,2.4,3.6,2.8,2.47,3.74,2.76,2.35,3.9,2.7,2.38,3.8,2.75,2.5,4.1,2.85,2.39,3.74,2.75,1.5,2.62,1.51,2.7,1.53,2.75,1.49,2.58,-0.25,2.1,1.8,2.16,1.78,2.16,1.84,2.1,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,23/05/2020,14:30,Paderborn,Hoffenheim,,,,,,,3.1,3.8,2.1,3.2,3.8,2.1,3.1,3.75,2.15,3.08,3.82,2.24,3.2,3.75,2.15,3.2,3.9,2.1,3.39,3.98,2.24,3.19,3.77,2.13,1.57,2.37,1.61,2.44,1.65,2.52,1.58,2.39,0.25,1.98,1.92,1.95,1.97,2.04,1.97,1.98,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,23/05/2020,14:30,Wolfsburg,Dortmund,,,,,,,4.2,4,1.72,4.6,4,1.72,4.35,3.9,1.77,4.54,3.87,1.8,4.5,3.9,1.75,4.2,4,1.8,4.7,4.1,1.83,4.43,3.91,1.76,1.66,2.2,1.67,2.31,1.72,2.45,1.63,2.28,0.75,1.89,2.01,1.88,2.04,1.95,2.05,1.87,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,23/05/2020,17:30,Bayern Munich,Ein Frankfurt,,,,,,,1.16,7.5,13,1.16,8,15.5,1.2,7,3,1.15,8.57,16.14,1.14,8.5,17,1.14,9,18,1.2,10.21,19.5,1.15,8.7,16.22,1.25,4,1.25,4.04,1.29,4.2,1.25,3.84,-2.25,1.85,2.05,1.86,2.02,1.89,2.11,1.84,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,24/05/2020,12:30,Schalke 04,Augsburg,,,,,,,2,3.5,3.6,2.05,3.4,3.7,2.05,3.45,3.6,2.09,3.56,3.64,2.05,3.5,3.6,2,3.5,3.5,2.12,3.7,3.85,2.06,3.49,3.6,1.9,1.9,1.88,2.01,1.95,2.04,1.87,1.94,-0.5,2.06,1.84,2.09,1.83,2.11,1.87,2.06,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,24/05/2020,14:30,Mainz,RB Leipzig,,,,,,,6.5,4.5,1.44,6.5,5.25,1.42,5.7,4.7,1.5,6.51,5.27,1.44,7,5,1.42,6,4.75,1.44,7.1,5.35,1.48,6.5,4.98,1.44,1.44,2.75,1.47,2.82,1.49,2.9,1.45,2.7,1.25,1.92,1.98,1.96,1.96,1.96,2.02,1.92,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,24/05/2020,17:00,FC Koln,Fortuna Dusseldorf,,,,,,,1.72,4,4.2,1.8,3.9,4.25,1.85,3.6,4.3,1.8,4.16,4.2,1.78,4,4.2,1.73,4,4.1,1.85,4.25,4.4,1.79,4.03,4.19,1.66,2.2,1.68,2.3,1.74,2.34,1.66,2.22,-0.75,2.02,1.88,2.05,1.87,2.05,1.92,2,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,22/05/2020,17:30,Heidenheim,Wehen,,,,,,,1.75,3.8,4.33,1.8,3.7,4.25,1.9,3.55,3.9,1.83,3.72,4.42,1.8,3.6,4.2,1.83,3.6,4.1,1.91,3.83,4.42,1.83,3.62,4.15,1.7,2.1,1.72,2.2,1.8,2.2,1.72,2.1,-0.5,1.83,2.02,1.83,2.06,1.89,2.07,1.83,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,22/05/2020,17:30,Nurnberg,Erzgebirge Aue,,,,,,,1.9,3.6,3.75,1.95,3.4,3.9,2,3.5,3.6,2.01,3.41,4.05,1.95,3.4,3.8,2,3.5,3.6,2.05,3.64,4.07,1.96,3.4,3.83,2,1.8,1.99,1.89,2.08,1.96,1.94,1.86,-0.5,2,1.85,2.01,1.89,2.04,1.9,1.97,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,23/05/2020,12:00,Darmstadt,St Pauli,,,,,,,2.37,3.3,2.9,2.45,3.3,2.8,2.4,3.3,2.95,2.4,3.4,3.04,2.35,3.25,3,2.4,3.4,2.8,2.6,3.4,3.05,2.4,3.26,2.93,1.95,1.85,1.99,1.89,2.1,1.92,1.94,1.85,-0.25,2.05,1.75,2.07,1.83,2.18,1.83,2.06,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,23/05/2020,12:00,Osnabruck,Hannover,,,,,,,2.87,3.4,2.35,2.75,3.25,2.5,2.8,3.3,2.5,2.88,3.33,2.55,2.88,3.2,2.45,2.8,3.3,2.45,2.96,3.43,2.6,2.83,3.24,2.47,1.85,1.95,1.92,1.96,1.94,2.03,1.87,1.92,0,2.05,1.8,2.07,1.83,2.12,1.86,2.06,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,23/05/2020,12:00,Sandhausen,Regensburg,,,,,,,2.25,3.4,3.2,2.3,3.25,3.1,2.25,3.45,3,2.3,3.53,3.1,2.25,3.4,3,2.25,3.5,3,2.4,3.53,3.25,2.27,3.4,3.03,1.72,2.07,1.79,2.09,1.8,2.19,1.74,2.07,-0.25,2,1.85,2.01,1.89,2.05,1.92,1.98,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,24/05/2020,12:30,Hamburg,Bielefeld,,,,,,,2.05,3.4,3.5,2,3.5,3.5,2.1,3.45,3.35,2.18,3.45,3.44,2.1,3.3,3.4,2.1,3.4,3.4,2.2,3.55,3.75,2.1,3.39,3.39,1.75,2.05,1.79,2.09,1.83,2.12,1.77,2.04,-0.25,1.83,2.02,1.88,2.01,1.88,2.11,1.82,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
