league,date,home_team,away_team,hm_odds,dr_odds,aw_odds,hmGfAtHm,hmGagAtHm,hmWatHm,hmDrAtHm,hmLosAtHm,awGfAtAw,awGagAtAw,awWatAw,awDrAtAw,awLosAtAw,ftr
D2,22/05/2020 00:00:00,Heidenheim,Wehen,1.75,3.80,4.33,0.0635565055746734,-0.5383522043538456,0.1762959841401497,0.03382042475893826,-0.21011640889908798,0.2985147139993194,-0.2735381965750381,0.08114049105119142,-0.15174683326454547,0.07060634221335421,H
D1,22/05/2020 00:00:00,Hertha,Union Berlin,2.30,3.40,3.00,-1.0107635504649342,0.7951554938707781,-0.2466919914687089,-0.037524162926485416,0.2842161543951944,-0.24063469591734732,0.1186958263226936,0.048231958889752236,-0.31743317833359713,0.26920121944384495,H
D2,22/05/2020 00:00:00,Nurnberg,Erzgebirge Aue,1.90,3.60,3.75,-0.5003016656920674,0.3516491124405321,-0.1020091117634018,-0.10672519976135397,0.20873431152475574,-0.8528497036338752,0.2122283107433136,-0.3140465902205372,-0.04233175401809286,0.3563783442386299,D
D1,23/05/2020 00:00:00,Bayern Munich,Ein Frankfurt,1.16,7.50,13.00,1.048169863314766,-0.7533247934012284,0.39948646216016737,-0.21313385480086788,-0.1863526073592995,-0.7677434350372322,0.4355792261443694,-0.11564393534714387,-0.2600827973383092,0.37572673268545326,H
D2,23/05/2020 00:00:00,Darmstadt,St Pauli,2.37,3.30,2.90,-0.21133839111827468,-0.41952885807096074,0.004085998322099438,0.23574840435292876,-0.23983440267502837,-0.12392585802788503,-0.09816262567542244,-0.10367352968986204,-0.036280422370937426,0.13995395206079964,H
D1,23/05/2020 00:00:00,Freiburg,Werder Bremen,2.15,3.75,3.00,-0.7018610435194008,-0.2751226798310846,0.19657459602186872,-0.28385268532661667,0.08727808930474806,-0.21744275206089214,0.4524629500099102,-0.07821538174185613,-0.0938996394293431,0.17211502117119915,A
D1,23/05/2020 00:00:00,Mgladbach,Leverkusen,2.30,3.75,2.75,0.4073090437771303,-0.47909431902641453,0.38237557864289845,-0.2419269640859571,-0.14044861455694133,0.70601447417594,-0.452926775429906,0.3580129415342588,-0.2710124482744535,-0.08700049325980538,A
D2,23/05/2020 00:00:00,Osnabruck,Hannover,2.87,3.40,2.35,-0.8236289953349383,0.43494170980353397,-0.16195167945383873,-0.06452701993296056,0.22647869938679926,0.22342943679640248,-0.6893110441893826,0.22689611222370382,-0.266216733412471,0.03932062118876717,A
D1,23/05/2020 00:00:00,Paderborn,Hoffenheim,3.10,3.80,2.10,-0.6374759794649374,0.855995690986459,-0.1967642663161455,-0.337988796882282,0.5347530631984276,0.11370484897255806,-1.0342312018319593,0.1804553496457078,-0.03617935694566288,-0.14427599270004504,D
D2,23/05/2020 00:00:00,Sandhausen,Regensburg,2.25,3.40,3.20,-0.5716577879108851,0.284804632063286,-0.24024901099390603,0.1978817293034802,0.042367281690425695,-0.22997178457929812,0.7039617299168552,-0.1046534378494593,-0.16623196347616673,0.270885401325626,D
D1,23/05/2020 00:00:00,Wolfsburg,Dortmund,4.20,4.00,1.72,-0.5699800977420919,-0.6081666790741354,-0.047187014494527724,0.05333492963945341,-0.006147915144925797,0.6798205726666098,-0.162438707437341,0.3084875815413468,-0.28490694880640843,-0.023580632734938267,A
D1,24/05/2020 00:00:00,FC Koln,Fortuna Dusseldorf,1.72,4.00,4.20,0.42236579343125413,-0.3748113608641206,0.22586468339478127,-0.09089346197027587,-0.13497122142450546,-0.6238647710690132,0.4284810641940551,-0.159842904021677,0.05246389824241243,0.10737900577926457,D
D2,24/05/2020 00:00:00,Hamburg,Bielefeld,2.05,3.40,3.50,0.29476396326170673,-0.25664042604024906,0.3398363055881334,-0.3415310842611674,0.0016947786730339975,0.5530417403852834,-0.5650842787026535,0.2346158773721807,0.0325549445283676,-0.2671708219005482,D
D2,24/05/2020 00:00:00,Holstein Kiel,Stuttgart,3.30,3.60,2.05,-0.38816629359039734,0.2077550614419923,-0.17748181877547362,0.08316208331579789,0.09431973545967581,-0.3179137717776932,0.07824002793639351,-0.12775178874064835,-0.059165795494293905,0.18691758423494242,H
D2,24/05/2020 00:00:00,Karlsruhe,Bochum,2.37,3.50,2.80,-0.3561098180276647,-0.15057062400971044,-0.04924800518264494,-0.05550839103606697,0.10475639621871197,-0.2920301113418722,-0.2787772429189659,0.07839441665861813,-0.054287184748484485,-0.024107231910133475,D
D1,24/05/2020 00:00:00,Mainz,RB Leipzig,6.50,4.50,1.44,-0.6203864699530863,0.06839353989302244,-0.07517591629414389,-0.0943110851022233,0.16948700139636724,0.5418445459500891,-1.0326042627437917,0.11867707360147034,0.05921210084744005,-0.17788917444891061,A
D1,24/05/2020 00:00:00,Schalke 04,Augsburg,2.00,3.50,3.60,-0.42835395176045443,0.16457199549498092,-0.062409060058580657,0.1811806757768245,-0.11877161571824407,-0.7477678457153685,0.4351036520659066,-0.10799262349131092,-0.25712330482435775,0.3651159283156685,A
D1,22/05/2020,Hertha,Union Berlin,2.3,3.4,3,-0.4853292985635633,0.2828685040524861,-0.046586100793632956,-0.11309909434871096,0.15968519514234364,-0.638564268570303,0.7894074465186547,-0.03411110409753165,-0.3201306592179243,0.35424176331545576,D
D1,23/05/2020,Freiburg,Werder Bremen,2.15,3.75,3,-0.8501940329457738,-0.3331206211151947,0.10323877427894418,-0.3393363162386803,0.2360975419597362,-0.3111210981336163,-0.0183563509061877,0.11357988481146153,-0.20165437675999437,0.08807449194853245,D
D1,23/05/2020,Paderborn,Hoffenheim,3.1,3.8,2.1,-0.4953575171852722,0.5228854278335626,-0.20937306457798918,-0.10893683645323793,0.31830990103122725,-0.09069535337067935,-0.9187353589321479,0.08176105648446697,0.06926088312861473,-0.15102193961308188,D
D1,23/05/2020,Wolfsburg,Dortmund,4.2,4,1.72,-0.8668548092213113,-0.45651140993212946,-0.11950801551980195,-0.042614781469677177,0.16212279698947907,0.6663766625589524,-0.4924066206276625,0.4241462552560724,-0.3483309520426528,-0.0758153032134199,D
D1,23/05/2020,Bayern Munich,Ein Frankfurt,1.16,7.5,13,1.5558259082245824,-0.4636328803039025,0.4931453467901639,-0.2587572494100299,-0.2343880973801341,-0.4468349575179633,1.010406527998653,-0.17464766204616666,-0.2828043432414824,0.45745200528764907,D
D1,24/05/2020,Schalke 04,Augsburg,2,3.5,3.6,-0.7323129505721675,0.5971419814905714,-0.12666238123931112,0.0322882707096388,0.09437411052967243,-0.21690121420691177,-0.22530776274730213,0.09229235606085329,-0.2722547707203589,0.17996241465950563,D
D1,24/05/2020,Mainz,RB Leipzig,6.5,4.5,1.44,-0.8618724251514404,0.7936366973609748,-0.16457938341828468,-0.1337864840809901,0.2983658674992748,1.228677211038823,-1.167561054963659,0.2575642588291328,-0.06336729563537052,-0.19419696319376215,D
D1,24/05/2020,FC Koln,Fortuna Dusseldorf,1.72,4,4.2,0.3440260116460636,-0.12935357199471587,0.1011602643040701,0.06924052254941054,-0.17040078685348045,-0.3128191326726022,0.3025343406631875,-0.1787204425776579,0.20575351775459383,-0.02703307517693576,D
D2,22/05/2020,Heidenheim,Wehen,1.75,3.8,4.33,-0.027496054608412646,-0.7771398354010629,0.27013368995154885,-0.04114297737681749,-0.2289907125747313,-0.08042181217441602,-0.29594630731627736,-0.041921388335284804,-0.17062405421282414,0.21254544254810892,D
D2,22/05/2020,Nurnberg,Erzgebirge Aue,1.9,3.6,3.75,-0.4827698368323803,0.24610378942293898,-0.16189093390191406,0.047099697445401045,0.11479123645651318,-0.8177166511473789,-0.009929226179927753,-0.33033175781569857,0.13756649313779762,0.1927652646779009,D
D2,23/05/2020,Darmstadt,St Pauli,2.37,3.3,2.9,0.4072949888981794,-0.6471972788738863,0.16058082158733583,0.09232694082781306,-0.25290776241514884,-0.4534489146559655,0.42817401714784253,-0.1424345201917122,-0.12326128402035996,0.2656958042120722,D
D2,23/05/2020,Osnabruck,Hannover,2.87,3.4,2.35,-0.4891919661426283,0.9708624443194234,-0.1868080359235567,-0.17068623783089304,0.35749427375444964,0.7283545595202829,-0.4299479130395709,0.3156959744814901,-0.28495649040487414,-0.03073948407661592,D
D2,23/05/2020,Sandhausen,Regensburg,2.25,3.4,3.2,-0.9187710833152317,-0.06029120791175813,-0.2632842027307193,0.2818365345948419,-0.018552331864122723,-0.4797599582875053,0.1888749677438264,-0.1486290720136141,0.04832149914573697,0.10030757286787684,D
D2,24/05/2020,Hamburg,Bielefeld,2.05,3.4,3.5,-0.15502549348878203,-0.4962928610047096,0.16631613754296126,-0.08850276232834625,-0.07781337521461515,0.23567195287685472,-1.0470659424601616,0.13234060559860844,0.19236809054318404,-0.32470869614179265,D
D2,24/05/2020,Holstein Kiel,Stuttgart,3.3,3.6,2.05,0.04831583875853851,0.4140726740007228,0.006824858376162646,-0.030796885338667368,0.023972026962504778,-0.12168687233537079,0.48566558715799646,-0.20987871624928922,-0.10032888071053181,0.31020759695982125,D
