Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
B1,15/10/2021,19:45,Club Brugge,Kortrijk,,,,,,,1.2,5.5,13,1.21,7,13.5,1.25,6.5,10,1.23,6.59,13.07,1.24,5.25,12,1.22,6,11.5,1.25,6.8,13.25,1.22,6.38,11.54,1.44,2.7,1.45,2.78,1.48,2.9,1.45,2.7,-1.75,1.88,1.98,1.88,1.99,1.93,2.08,1.86,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,16/10/2021,15:15,St. Gilloise,Seraing,,,,,,,1.33,5,7.5,1.39,5,7.25,1.35,5,7.5,1.34,5.3,8.51,1.33,4.75,8.5,1.33,5,8.5,1.39,5.5,8.51,1.35,5.11,7.75,1.53,2.4,1.54,2.5,1.57,2.5,1.54,2.42,-1.5,2,1.85,2,1.85,2.08,1.9,2,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,16/10/2021,17:30,Oostende,Cercle Brugge,,,,,,,2.15,3.4,3.25,2.1,3.6,3.25,2.15,3.65,3,2.18,3.73,3.16,2.05,3.5,3.25,2.15,3.5,3.1,2.24,3.9,3.25,2.15,3.65,3.09,1.72,2.07,1.74,2.11,1.77,2.26,1.73,2.11,-0.25,1.93,1.93,1.9,1.95,1.99,2,1.9,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,16/10/2021,17:30,Waregem,Antwerp,,,,,,,4.5,4.2,1.66,4.33,4.4,1.66,4.2,4.2,1.7,4.31,4.46,1.69,4.33,4,1.66,4.4,4.2,1.67,4.58,4.46,1.74,4.29,4.22,1.69,1.47,2.6,1.46,2.71,1.52,2.71,1.48,2.6,0.75,2.02,1.83,1.98,1.87,2.02,1.93,1.98,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,16/10/2021,19:45,Standard,Oud-Heverlee Leuven,,,,,,,1.75,4,3.6,1.83,3.8,4,1.85,3.75,3.7,1.88,3.9,3.9,1.8,3.6,4,1.83,3.8,3.9,1.89,4.05,4,1.85,3.8,3.82,1.57,2.35,1.6,2.38,1.63,2.41,1.59,2.33,-0.5,1.85,2,1.88,1.98,1.91,2.05,1.85,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,17/10/2021,12:30,St Truiden,Anderlecht,,,,,,,4.75,3.6,1.66,4.5,3.8,1.75,4.1,3.6,1.77,4.43,3.67,1.82,4.5,3.5,1.75,4.2,3.6,1.8,4.75,3.85,1.83,4.28,3.66,1.79,1.85,2,1.84,2,1.88,2.12,1.81,1.99,0.75,1.88,1.98,1.8,2.05,1.89,2.11,1.81,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,17/10/2021,15:00,Beerschot VA,Mechelen,,,,,,,3,3.4,2.2,3,3.6,2.25,2.85,3.5,2.25,3.01,3.64,2.28,3,3.4,2.2,,,,3.1,3.82,2.36,2.96,3.55,2.25,1.66,2.15,1.7,2.17,1.73,2.26,1.68,2.17,0.25,1.85,2,1.87,1.99,1.91,2.05,1.87,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,17/10/2021,17:30,Charleroi,Genk,,,,,,,3.3,3.6,2,3.3,3.75,2.05,3.15,3.6,2.1,3.3,3.75,2.1,3.2,3.4,2.1,3.2,3.6,2.1,3.34,3.8,2.14,3.24,3.62,2.09,1.65,2.2,1.65,2.28,1.7,2.33,1.64,2.24,0.25,2.02,1.83,2.02,1.84,2.08,1.88,2.01,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,17/10/2021,20:00,Gent,Eupen,,,,,,,1.57,4.2,5.5,1.63,4.2,4.8,1.6,4.2,4.9,1.61,4.37,5.05,1.6,4,5,1.6,4.1,5,1.66,4.37,5.5,1.61,4.17,4.93,1.65,2.2,1.63,2.31,1.7,2.31,1.65,2.22,-1,2.05,1.8,2.05,1.81,2.12,1.85,2.06,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,15/10/2021,19:30,Hoffenheim,FC Koln,,,,,,,2,3.9,3.3,2,3.75,3.4,2.2,3.45,3.25,2.11,3.86,3.45,2.05,3.7,3.3,2.05,3.9,3.25,2.23,3.96,3.45,2.08,3.81,3.32,1.44,2.75,1.51,2.71,1.52,2.75,1.48,2.63,-0.25,1.77,2.02,1.85,2.09,1.88,2.11,1.82,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,16/10/2021,14:30,Dortmund,Mainz,,,,,,,1.4,5,7.5,1.42,5,6.75,1.43,5.25,6.75,1.45,4.92,7.5,1.4,4.75,7.5,1.4,5,7,1.46,5.26,8.09,1.42,4.94,7.19,1.44,2.75,1.51,2.71,1.55,2.8,1.47,2.69,-1.25,1.89,2.04,1.92,2.01,1.95,2.05,1.9,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,16/10/2021,14:30,Ein Frankfurt,Hertha,,,,,,,1.75,3.8,4.5,1.73,3.8,4.5,1.77,3.7,4.7,1.78,3.86,4.94,1.73,3.75,4.6,1.7,4,4.5,1.79,4.08,4.94,1.75,3.86,4.67,1.8,2,1.83,2.07,1.85,2.1,1.79,2.04,-0.75,1.97,1.96,2,1.92,2.01,1.99,1.96,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,16/10/2021,14:30,Freiburg,RB Leipzig,,,,,,,4,4,1.85,4.2,3.8,1.78,3.85,3.8,1.9,4.06,3.86,1.93,4,3.7,1.85,3.7,3.9,1.87,4.29,4,1.96,3.94,3.76,1.9,1.66,2.2,1.72,2.23,1.72,2.31,1.68,2.22,0.5,2,1.93,1.99,1.93,2.03,1.96,1.96,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,16/10/2021,14:30,Greuther Furth,Bochum,,,,,,,2.37,3.5,2.9,2.3,3.4,3,2.4,3.4,2.9,2.45,3.56,3.01,2.45,3.3,2.88,2.4,3.5,2.8,2.5,3.56,3.03,2.43,3.44,2.9,1.72,2.1,1.78,2.14,1.85,2.14,1.78,2.07,-0.25,2.1,1.83,2.11,1.83,2.13,1.84,2.1,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,16/10/2021,14:30,Union Berlin,Wolfsburg,,,,,,,2.7,3.25,2.7,2.65,3.3,2.65,2.7,3.2,2.75,2.75,3.25,2.85,2.7,3.1,2.7,2.63,3.2,2.7,2.9,3.32,2.86,2.73,3.19,2.73,2.1,1.72,2.18,1.75,2.18,1.83,2.1,1.76,0,1.94,1.99,1.93,2,1.97,2.01,1.93,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,16/10/2021,17:30,M'gladbach,Stuttgart,,,,,,,1.5,4.75,6,1.49,4.8,5.5,1.53,4.6,5.75,1.51,4.6,5.86,1.52,4.5,5.5,1.5,4.6,5.75,1.57,5,6.1,1.52,4.65,5.75,1.53,2.5,1.54,2.51,1.54,2.72,1.52,2.52,-1,1.88,2.05,1.84,2.02,1.9,2.08,1.85,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,17/10/2021,14:30,Leverkusen,Bayern Munich,,,,,,,4.75,4.6,1.6,4.8,4.5,1.58,4.5,4.6,1.63,5.11,4.62,1.63,5,4.4,1.57,4.6,4.6,1.6,5.5,4.8,1.65,4.88,4.57,1.61,1.28,3.75,1.36,3.37,1.35,3.75,1.3,3.49,1,1.94,1.99,1.95,1.97,1.97,2.02,1.91,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,17/10/2021,16:30,Augsburg,Bielefeld,,,,,,,2.25,3.2,3.4,2.35,3.1,3.25,2.3,3.2,3.3,2.34,3.26,3.47,2.3,3.1,3.3,2.25,3.3,3.2,2.38,3.35,3.5,2.3,3.21,3.32,2.2,1.66,2.29,1.68,2.3,1.77,2.19,1.7,-0.25,1.99,1.94,1.99,1.93,2.01,1.95,1.97,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,15/10/2021,17:30,Hannover,Schalke 04,,,,,,,2.62,3.4,2.62,2.75,3.3,2.5,2.7,3.35,2.6,2.76,3.52,2.62,2.62,3.3,2.5,2.63,3.4,2.5,2.95,3.52,2.66,2.7,3.37,2.55,1.8,2,1.85,2.04,1.9,2.07,1.83,1.97,0,1.98,1.88,2.01,1.9,2.01,1.93,1.98,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,15/10/2021,17:30,Paderborn,Regensburg,,,,,,,1.95,4,3.5,2,3.8,3.4,2,3.7,3.5,2.04,3.77,3.66,1.95,3.5,3.5,1.95,3.9,3.3,2.04,4,3.68,1.98,3.69,3.52,1.6,2.3,1.65,2.33,1.67,2.48,1.59,2.33,-0.5,2,1.85,2.04,1.87,2.04,1.92,1.99,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,16/10/2021,12:30,Heidenheim,St Pauli,,,,,,,2.62,3.4,2.7,2.65,3.5,2.55,2.6,3.35,2.7,2.7,3.35,2.79,2.55,3.25,2.6,2.5,3.4,2.6,2.7,3.65,2.79,2.58,3.36,2.64,1.7,2.1,1.76,2.15,1.76,2.26,1.7,2.14,0,1.9,1.95,1.92,1.99,1.97,2.01,1.91,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,16/10/2021,12:30,Ingolstadt,Holstein Kiel,,,,,,,3.25,3.5,2.2,3.2,3.4,2.2,3.15,3.35,2.25,3.26,3.48,2.31,3.1,3.3,2.2,3,3.4,2.25,3.26,3.66,2.31,3.09,3.42,2.24,1.72,2.07,1.78,2.13,1.78,2.18,1.74,2.1,0.25,1.9,1.95,1.92,1.99,1.95,2.02,1.91,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,16/10/2021,12:30,Karlsruhe,Erzgebirge Aue,,,,,,,1.65,3.75,5.5,1.65,3.9,5,1.67,3.9,4.9,1.71,4.02,5.05,1.63,3.7,5,1.65,4,4.6,1.72,4.05,5.5,1.66,3.83,4.87,1.72,2.07,1.79,2.1,1.82,2.13,1.76,2.06,-0.75,1.88,1.98,1.91,2,1.93,2.06,1.88,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,16/10/2021,19:30,Hamburg,Fortuna Dusseldorf,,,,,,,1.8,3.8,4.2,1.78,3.75,4.33,1.85,3.75,3.95,1.91,3.79,4.15,1.8,3.6,4,1.83,3.8,3.75,1.91,3.94,4.2,1.84,3.73,3.92,1.57,2.35,1.63,2.4,1.63,2.45,1.58,2.34,-0.5,1.83,2.02,1.91,2,1.91,2.08,1.85,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,17/10/2021,12:30,Darmstadt,Werder Bremen,,,,,,,2.87,3.4,2.45,2.8,3.6,2.37,2.8,3.45,2.4,2.95,3.59,2.44,2.75,3.4,2.35,2.75,3.5,2.4,2.95,3.82,2.47,2.8,3.5,2.38,1.53,2.4,1.56,2.53,1.63,2.61,1.55,2.4,0,2.08,1.73,2.15,1.78,2.16,1.82,2.1,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,17/10/2021,12:30,Dresden,Nurnberg,,,,,,,2.8,3.4,2.5,2.7,3.25,2.6,2.8,3.25,2.55,2.93,3.25,2.64,2.75,3.2,2.5,2.75,3.3,2.5,2.93,3.4,2.66,2.81,3.2,2.53,2,1.8,2.08,1.83,2.09,1.94,2,1.81,0,2.02,1.83,2.06,1.85,2.06,1.9,2.02,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,17/10/2021,12:30,Hansa Rostock,Sandhausen,,,,,,,2,3.5,3.75,2.05,3.4,3.6,2.05,3.4,3.6,2.1,3.4,3.88,2,3.3,3.6,2,3.5,3.4,2.1,3.6,3.9,2.03,3.41,3.59,1.8,2,1.84,2.06,1.87,2.19,1.77,2.05,-0.5,2.02,1.83,2.1,1.83,2.1,1.89,2.04,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,16/10/2021,12:30,Watford,Liverpool,,,,,,,8.5,5.5,1.33,8,5.25,1.35,7.75,5.25,1.37,9.43,5.49,1.36,8.5,5,1.35,8.5,5,1.33,9.5,5.75,1.39,8.67,5.33,1.36,1.57,2.37,1.59,2.5,1.65,2.51,1.58,2.43,1.5,1.86,2.07,1.88,2.05,1.89,2.09,1.85,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,16/10/2021,15:00,Aston Villa,Wolves,,,,,,,2.15,3.25,3.5,2.15,3.3,3.5,2.25,3.25,3.35,2.32,3.31,3.47,2.25,3.1,3.4,2.2,3.2,3.3,2.36,3.4,3.56,2.25,3.28,3.42,2.1,1.72,2.16,1.77,2.2,1.8,2.12,1.76,-0.25,1.95,1.98,1.97,1.95,1.99,2.01,1.93,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,16/10/2021,15:00,Leicester,Man United,,,,,,,3.5,3.6,2.05,3.75,3.5,2,3.45,3.55,2.1,3.56,3.68,2.13,3.5,3.5,2.05,3.4,3.5,2.05,3.72,3.7,2.18,3.49,3.59,2.1,1.72,2.1,1.78,2.14,1.82,2.2,1.77,2.11,0.5,1.75,2.05,1.81,2.12,1.85,2.15,1.78,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,16/10/2021,15:00,Man City,Burnley,,,,,,,1.12,9,19,1.13,8.5,21,1.12,9,21,1.13,9.94,24.65,1.1,9,23,1.09,9,23,1.14,10.5,29,1.12,9.47,22.12,1.36,3.2,1.42,3,1.42,3.2,1.39,3.04,-2.25,1.8,2,1.89,2.01,1.92,2.13,1.85,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,16/10/2021,15:00,Norwich,Brighton,,,,,,,3.6,3.4,2.1,3.6,3.5,2.05,3.6,3.3,2.1,3.77,3.41,2.16,3.6,3.25,2.1,3.6,3.25,2.05,3.86,3.41,2.21,3.67,3.34,2.13,2.1,1.72,2.2,1.74,2.2,1.8,2.13,1.75,0.25,2.08,1.85,2.09,1.85,2.12,1.87,2.06,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,16/10/2021,15:00,Southampton,Leeds,,,,,,,2.3,3.5,3,2.4,3.5,2.9,2.4,3.5,2.9,2.44,3.58,3.01,2.35,3.4,2.9,2.3,3.5,2.88,2.48,3.77,3.07,2.4,3.52,2.93,1.72,2.1,1.75,2.19,1.81,2.28,1.72,2.17,-0.25,2.08,1.85,2.11,1.83,2.11,1.88,2.07,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,16/10/2021,17:30,Brentford,Chelsea,,,,,,,6.5,3.8,1.57,7,3.95,1.52,6,3.85,1.6,6.69,3.92,1.61,6.5,3.6,1.6,6,3.75,1.57,6.75,4,1.66,6.37,3.84,1.6,2,1.8,2.08,1.82,2.1,1.85,2.04,1.81,1,1.83,2.1,1.83,2.11,1.85,2.17,1.82,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,17/10/2021,14:00,Everton,West Ham,,,,,,,2.5,3.4,2.8,2.45,3.5,2.75,2.5,3.3,2.85,2.57,3.37,2.98,2.5,3.2,2.9,2.45,3.3,2.8,2.64,3.58,3.02,2.52,3.35,2.89,1.9,1.9,1.95,1.95,1.98,2.11,1.89,1.96,0,1.82,2.11,1.83,2.12,1.86,2.13,1.81,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,17/10/2021,16:30,Newcastle,Tottenham,,,,,,,3.5,3.6,2.05,3.4,3.6,2,3.45,3.55,2.1,3.57,3.66,2.13,3.5,3.5,2.05,3.4,3.5,2.05,3.84,3.75,2.15,3.51,3.58,2.09,1.8,2,1.81,2.1,1.84,2.13,1.79,2.07,0.25,2.08,1.85,2.09,1.85,2.11,1.87,2.08,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,18/10/2021,20:00,Arsenal,Crystal Palace,,,,,,,1.6,3.8,6,1.62,3.9,5.75,1.65,3.85,5.5,1.66,3.94,5.91,1.62,3.7,5.8,1.6,3.8,5.5,1.7,4.1,6.13,1.65,3.87,5.65,1.97,1.93,1.97,1.93,1.99,1.95,1.93,1.91,-0.75,1.83,2.1,1.85,2.09,1.89,2.11,1.84,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,15/10/2021,20:00,West Brom,Birmingham,,,,,,,1.61,4,5.5,1.58,4.2,5.5,1.67,3.85,5,1.67,4.05,5.39,1.6,3.8,5.5,1.65,3.9,5.25,1.69,4.05,5.54,1.65,3.92,5.25,1.88,1.98,1.93,1.96,1.96,2,1.89,1.93,-0.75,1.87,2.03,1.87,2.04,1.89,2.07,1.83,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,16/10/2021,12:30,Fulham,QPR,,,,,,,1.6,4.2,5.25,1.6,4.4,5,1.63,4.1,4.9,1.65,4.24,5.24,1.6,4,5.25,1.62,4.2,5,1.68,4.53,5.25,1.64,4.2,4.92,1.57,2.37,1.59,2.47,1.59,2.5,1.56,2.41,-1,2.08,1.82,2.14,1.78,2.14,1.85,2.08,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,16/10/2021,15:00,Blackburn,Coventry,,,,,,,2.8,3.25,2.6,2.65,3.3,2.65,2.75,3.2,2.6,2.88,3.21,2.71,2.75,3.2,2.55,2.7,3.4,2.55,2.9,3.45,2.75,2.78,3.23,2.61,2,1.85,1.98,1.9,2.07,1.91,1.97,1.85,0,2.02,1.88,2.01,1.89,2.05,1.91,2.01,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,16/10/2021,15:00,Bristol City,Bournemouth,,,,,,,4.5,3.4,1.85,4.33,3.4,1.87,4.2,3.5,1.9,4.44,3.55,1.92,4.2,3.4,1.85,4.1,3.6,1.87,4.5,3.65,1.96,4.2,3.5,1.89,2,1.8,2.09,1.8,2.1,1.85,2.03,1.79,0.5,2,1.9,1.99,1.92,2.04,1.93,1.96,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,16/10/2021,15:00,Huddersfield,Hull,,,,,,,2,3.3,4,2,3.4,3.7,2,3.35,3.8,2.02,3.52,4.03,1.95,3.3,3.8,2,3.4,3.8,2.06,3.52,4.09,2,3.4,3.84,2.1,1.72,2.18,1.74,2.2,1.79,2.13,1.72,-0.5,2.01,1.89,2.02,1.89,2.04,1.91,2,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,16/10/2021,15:00,Middlesbrough,Peterboro,,,,,,,1.8,3.5,4.75,1.82,3.6,4.4,1.8,3.55,4.5,1.81,3.62,4.93,1.78,3.5,4.4,1.8,3.6,4.5,1.86,3.8,4.93,1.81,3.6,4.51,1.9,1.9,1.97,1.92,1.99,1.96,1.93,1.88,-0.75,2.06,1.84,2.07,1.84,2.08,1.86,2.05,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,16/10/2021,15:00,Millwall,Luton,,,,,,,2.37,3.2,3.25,2.37,3.1,3.2,2.35,3.2,3.1,2.42,3.3,3.22,2.4,3,3.1,2.3,3.3,3.1,2.48,3.32,3.3,2.37,3.22,3.12,2.1,1.72,2.19,1.74,2.21,1.75,2.15,1.7,-0.25,2.05,1.85,2.06,1.85,2.07,1.87,2.03,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,16/10/2021,15:00,Nott'm Forest,Blackpool,,,,,,,2,3.3,4,2,3.3,3.8,2.05,3.3,3.8,2.06,3.42,4.01,2,3.3,3.7,2,3.4,3.8,2.08,3.5,4.03,2.03,3.37,3.78,2.1,1.72,2.19,1.74,2.21,1.77,2.14,1.71,-0.5,2.05,1.85,2.06,1.86,2.07,1.88,2.03,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,16/10/2021,15:00,Preston,Derby,,,,,,,2,3.2,4.2,2.05,3.1,4.1,2.05,3.1,4,2.07,3.19,4.28,2.05,3.2,3.8,2.05,3.25,3.9,2.12,3.38,4.28,2.06,3.18,3.97,2.3,1.61,2.43,1.61,2.44,1.65,2.34,1.59,-0.5,2.07,1.83,2.07,1.84,2.11,1.87,2.05,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,16/10/2021,15:00,Reading,Barnsley,,,,,,,2.15,3.25,3.6,2.15,3.25,3.6,2.15,3.25,3.5,2.18,3.35,3.68,2.1,3.2,3.5,2.1,3.3,3.6,2.22,3.45,3.75,2.16,3.28,3.49,2.2,1.66,2.19,1.73,2.25,1.74,2.17,1.69,-0.25,1.86,2.04,1.87,2.04,1.89,2.08,1.85,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,16/10/2021,15:00,Sheffield United,Stoke,,,,,,,2.2,3.2,3.5,2.2,3.2,3.5,2.2,3.25,3.35,2.27,3.29,3.54,2.15,3.2,3.4,2.25,3.3,3.3,2.33,3.47,3.54,2.23,3.27,3.35,2.1,1.72,2.19,1.74,2.19,1.78,2.13,1.72,-0.25,1.95,1.95,1.93,1.97,1.99,1.99,1.92,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,17/10/2021,12:00,Swansea,Cardiff,,,,,,,2.4,3.2,3.1,2.45,3.2,3,2.5,3.1,3,2.53,3.19,3.13,2.45,3,3,2.38,3,2.88,2.55,3.27,3.15,2.47,3.12,3.02,2.3,1.61,2.48,1.59,2.49,1.64,2.37,1.58,-0.25,2.13,1.78,2.15,1.79,2.17,1.84,2.11,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,15/10/2021,19:45,Burton,Morecambe,,,,,,,1.9,3.6,4,1.9,3.5,3.9,1.9,3.3,3.9,1.97,3.57,4.06,1.85,3.4,3.9,1.9,3.6,4,1.99,3.78,4.2,1.92,3.52,3.9,1.95,1.85,1.96,1.91,2,1.94,1.94,1.86,-0.5,1.93,1.93,1.97,1.92,1.97,1.97,1.92,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,16/10/2021,15:00,AFC Wimbledon,Sheffield Weds,,,,,,,3,3.2,2.5,2.87,3.4,2.35,2.8,3.05,2.4,2.93,3.29,2.51,2.88,3.1,2.4,2.9,3.2,2.5,3.35,3.4,2.57,2.9,3.22,2.45,2.15,1.66,2.22,1.68,2.26,1.71,2.19,1.66,0,2.1,1.77,2.09,1.78,2.12,1.83,2.08,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,16/10/2021,15:00,Bolton,Wigan,,,,,,,2.6,3.2,2.8,2.6,3.25,2.6,2.5,3.1,2.65,2.63,3.26,2.8,2.5,3.1,2.7,2.55,3.3,2.8,2.63,3.56,2.81,2.54,3.28,2.73,1.95,1.85,1.95,1.88,2,1.93,1.93,1.86,0,1.83,2.02,1.86,1.99,1.91,2.07,1.85,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
