,league,date,home_team,away_team,home_odds,home_odds_max,draw_odds,draw_odds_max,away_odds,away_odds_max
0,B1,2021-10-15,Club Brugge,Kortrijk,1.2,1.25,5.5,6.8,13.0,13.25
1,B1,2021-10-16,St. Gilloise,Seraing,1.33,1.39,5.0,5.5,7.5,8.51
2,B1,2021-10-16,Oostende,Cercle Brugge,2.15,2.24,3.4,3.9,3.25,3.25
3,B1,2021-10-16,Waregem,Antwerp,4.5,4.58,4.2,4.46,1.66,1.74
4,B1,2021-10-16,Standard,Oud-Heverlee Leuven,1.75,1.89,4.0,4.05,3.6,4.0
5,B1,2021-10-17,St Truiden,Anderlecht,4.75,4.75,3.6,3.85,1.66,1.83
6,B1,2021-10-17,Beerschot VA,Mechelen,3.0,3.1,3.4,3.82,2.2,2.36
7,B1,2021-10-17,Charleroi,Genk,3.3,3.34,3.6,3.8,2.0,2.14
8,B1,2021-10-17,Gent,Eupen,1.57,1.66,4.2,4.37,5.5,5.5
9,D1,2021-10-15,Hoffenheim,FC Koln,2.0,2.23,3.9,3.96,3.3,3.45
10,D1,2021-10-16,Dortmund,Mainz,1.4,1.46,5.0,5.26,7.5,8.09
11,D1,2021-10-16,Ein Frankfurt,Hertha,1.75,1.79,3.8,4.08,4.5,4.94
12,D1,2021-10-16,Freiburg,RB Leipzig,4.0,4.29,4.0,4.0,1.85,1.96
13,D1,2021-10-16,Greuther Furth,Bochum,2.37,2.5,3.5,3.56,2.9,3.03
14,D1,2021-10-16,Union Berlin,Wolfsburg,2.7,2.9,3.25,3.32,2.7,2.86
15,D1,2021-10-16,M'gladbach,Stuttgart,1.5,1.57,4.75,5.0,6.0,6.1
16,D1,2021-10-17,Leverkusen,Bayern Munich,4.75,5.5,4.6,4.8,1.6,1.65
17,D1,2021-10-17,Augsburg,Bielefeld,2.25,2.38,3.2,3.35,3.4,3.5
18,D2,2021-10-15,Hannover,Schalke 04,2.62,2.95,3.4,3.52,2.62,2.66
19,D2,2021-10-15,Paderborn,Regensburg,1.95,2.04,4.0,4.0,3.5,3.68
20,D2,2021-10-16,Heidenheim,St Pauli,2.62,2.7,3.4,3.65,2.7,2.79
21,D2,2021-10-16,Ingolstadt,Holstein Kiel,3.25,3.26,3.5,3.66,2.2,2.31
22,D2,2021-10-16,Karlsruhe,Erzgebirge Aue,1.65,1.72,3.75,4.05,5.5,5.5
23,D2,2021-10-16,Hamburg,Fortuna Dusseldorf,1.8,1.91,3.8,3.94,4.2,4.2
24,D2,2021-10-17,Darmstadt,Werder Bremen,2.87,2.95,3.4,3.82,2.45,2.47
25,D2,2021-10-17,Dresden,Nurnberg,2.8,2.93,3.4,3.4,2.5,2.66
26,D2,2021-10-17,Hansa Rostock,Sandhausen,2.0,2.1,3.5,3.6,3.75,3.9
27,E0,2021-10-16,Watford,Liverpool,8.5,9.5,5.5,5.75,1.33,1.39
28,E0,2021-10-16,Aston Villa,Wolves,2.15,2.36,3.25,3.4,3.5,3.56
29,E0,2021-10-16,Leicester,Man United,3.5,3.72,3.6,3.7,2.05,2.18
30,E0,2021-10-16,Man City,Burnley,1.12,1.14,9.0,10.5,19.0,29.0
31,E0,2021-10-16,Norwich,Brighton,3.6,3.86,3.4,3.41,2.1,2.21
32,E0,2021-10-16,Southampton,Leeds,2.3,2.48,3.5,3.77,3.0,3.07
