,league,date,home_team,away_team,xG,xGA,npxG,npxGA,deep,deep_allowed,ppda_coef,oppda_coef,fthg,ftag,ftr
19922,RFPL,2014-08-01,Rubin Kazan,Spartak Moscow,1.19659,2.19129,1.19659,2.19129,6,1,5.538461538461538,3.975609756097561,0,4,A
20222,RFPL,2014-08-02,Ural,M Saransk,1.15656,2.15557,0.402281,2.15557,3,8,6.260869565217392,10.478260869565217,2,3,A
20252,RFPL,2014-08-02,Arsenal Tula,Zenit,0.767575,2.48554,0.767575,2.48554,1,11,11.826086956521738,7.954545454545454,0,4,A
19892,RFPL,2014-08-02,CSKA Moscow,T Moscow,3.13827,0.578158,2.38399,0.578158,17,1,7.526315789473684,19.545454545454547,4,1,H
20042,RFPL,2014-08-03,Dynamo Moscow,FK Rostov,4.81401,0.600496,3.30546,0.600496,6,6,4.789473684210527,16.0,7,3,H
20192,RFPL,2014-08-03,Kuban,Ufa,2.04538,0.0390915,2.04538,0.0390915,7,0,7.869565217391305,11.444444444444445,2,0,H
20102,RFPL,2014-08-03,Lokomotiv Moscow,Krasnodar,0.793814,0.733761,0.793814,0.733761,8,5,4.344827586206897,6.4375,0,0,D
19982,RFPL,2014-08-04,Akhmat Grozny,Amkar,2.1776,0.325138,2.1776,0.325138,8,4,4.842105263157895,8.151515151515152,4,0,H
20133,RFPL,2014-08-08,Amkar,Ufa,0.360411,0.190173,0.360411,0.190173,6,3,5.333333333333333,8.473684210526315,0,1,A
20193,RFPL,2014-08-08,Kuban,FK Rostov,2.05495,0.382065,1.30068,0.382065,2,5,6.514285714285714,7.095238095238095,2,2,D
16196,Ligue_1,2014-08-08,Reims,Paris SG,1.36787,2.65538,1.36787,1.89529,2,11,31.6,7.5,2,2,D
20073,RFPL,2014-08-09,M Saransk,CSKA Moscow,0.435517,1.54445,0.435517,0.790171,3,4,7.777777777777778,8.5,0,1,A
20013,RFPL,2014-08-09,Zenit,T Moscow,5.27931,0.971363,3.77076,0.217088,21,1,6.741935483870968,9.774193548387096,8,1,H
19983,RFPL,2014-08-09,Akhmat Grozny,Rubin Kazan,0.427576,0.695471,0.427576,0.695471,5,3,9.047619047619047,7.222222222222222,1,1,D
15664,Ligue_1,2014-08-09,Lille,Metz,1.54468,0.0571371,1.54468,0.0571371,5,0,3.608695652173913,21.05555555555556,0,0,D
15740,Ligue_1,2014-08-09,Bastia,Marseille,1.39689,1.31751,0.636797,0.557414,2,1,5.742857142857143,4.782608695652174,3,3,D
16006,Ligue_1,2014-08-09,Nice,Toulouse,2.21481,1.56361,2.21481,1.56361,11,8,12.444444444444445,8.6,3,2,H
15892,Ligue_1,2014-08-09,Montpellier,Bordeaux,1.01756,0.750184,1.01756,0.750184,2,3,11.23076923076923,10.2,0,1,A
15930,Ligue_1,2014-08-09,Nantes,Lens,1.025,0.167128,1.025,0.167128,3,2,11.84,21.857142857142858,1,0,H
