league,date,home,away,prediction,odds,probability,real
F1,28/08/2020 00:00:00,Lyon,Dijon,Home,1.28,0.7420476,H
F1,28/08/2020 00:00:00,Lyon,Dijon,Draw,5.75,0.15249358,H
F1,28/08/2020 00:00:00,Lyon,Dijon,Away,9.00,0.1054588,H
B1,28/08/2020 00:00:00,Oostende,Anderlecht,Home,3.50,0.29625624,D
B1,28/08/2020 00:00:00,Oostende,Anderlecht,Draw,3.75,0.24783882,D
B1,28/08/2020 00:00:00,Oostende,Anderlecht,Away,1.95,0.45590493,D
F2,29/08/2020 00:00:00,Caen,Ajaccio,Home,2.45,0.39263815,H
F2,29/08/2020 00:00:00,Caen,Ajaccio,Draw,2.90,0.30887145,H
F2,29/08/2020 00:00:00,Caen,Ajaccio,Away,3.10,0.29849043,H
B1,29/08/2020 00:00:00,Cercle Brugge,Kortrijk,Home,2.25,0.4077376,A
B1,29/08/2020 00:00:00,Cercle Brugge,Kortrijk,Draw,3.50,0.2738616,A
B1,29/08/2020 00:00:00,Cercle Brugge,Kortrijk,Away,2.90,0.3184008,A
F2,29/08/2020 00:00:00,Chateauroux,Auxerre,Home,3.20,0.31652382,A
F2,29/08/2020 00:00:00,Chateauroux,Auxerre,Draw,3.00,0.2931528,A
F2,29/08/2020 00:00:00,Chateauroux,Auxerre,Away,2.37,0.39032334,A
B1,29/08/2020 00:00:00,Eupen,St Truiden,Home,2.00,0.46826482,D
B1,29/08/2020 00:00:00,Eupen,St Truiden,Draw,3.50,0.26121628,D
B1,29/08/2020 00:00:00,Eupen,St Truiden,Away,3.60,0.2705189,D
F2,29/08/2020 00:00:00,Grenoble,Toulouse,Home,2.25,0.4422664,H
F2,29/08/2020 00:00:00,Grenoble,Toulouse,Draw,3.00,0.30433723,H
F2,29/08/2020 00:00:00,Grenoble,Toulouse,Away,3.50,0.25339636,H
SC0,29/08/2020 00:00:00,Hamilton,Rangers,Home,15.00,0.010784486,A
SC0,29/08/2020 00:00:00,Hamilton,Rangers,Draw,7.00,0.07899463,A
SC0,29/08/2020 00:00:00,Hamilton,Rangers,Away,1.16,0.91022086,A
SC0,29/08/2020 00:00:00,Kilmarnock,Dundee United,Home,2.40,0.41541302,H
SC0,29/08/2020 00:00:00,Kilmarnock,Dundee United,Draw,3.40,0.26274568,H
SC0,29/08/2020 00:00:00,Kilmarnock,Dundee United,Away,2.87,0.32184127,H
F2,29/08/2020 00:00:00,Le Havre,Amiens,Home,2.20,0.42607173,H
F2,29/08/2020 00:00:00,Le Havre,Amiens,Draw,3.10,0.31132743,H
F2,29/08/2020 00:00:00,Le Havre,Amiens,Away,3.50,0.2626008,H
SC0,29/08/2020 00:00:00,Livingston,Ross County,Home,2.00,0.46061277,H
SC0,29/08/2020 00:00:00,Livingston,Ross County,Draw,3.40,0.29967853,H
SC0,29/08/2020 00:00:00,Livingston,Ross County,Away,3.60,0.23970869,H
B1,29/08/2020 00:00:00,Mouscron,Waregem,Home,2.87,0.3713144,A
B1,29/08/2020 00:00:00,Mouscron,Waregem,Draw,3.40,0.27339926,A
B1,29/08/2020 00:00:00,Mouscron,Waregem,Away,2.37,0.35528633,A
F2,29/08/2020 00:00:00,Nancy,Guingamp,Home,2.80,0.36014456,D
F2,29/08/2020 00:00:00,Nancy,Guingamp,Draw,2.87,0.31632793,D
F2,29/08/2020 00:00:00,Nancy,Guingamp,Away,2.80,0.3235275,D
