Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
B1,28/08/2020,19:45,Oostende,Anderlecht,,,,,,,3.5,3.75,1.95,3.5,3.75,2,3.45,3.45,1.97,3.56,3.77,2.01,3.6,3.7,1.91,3.5,3.7,2,3.92,3.9,2.04,3.51,3.67,1.98,1.7,2.1,1.7,2.23,1.79,2.25,1.68,2.16,0.5,1.85,2,1.89,2.01,1.9,2.04,1.85,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,29/08/2020,15:15,Eupen,St Truiden,,,,,,,2,3.5,3.6,2,3.6,3.7,2,3.35,3.5,2.01,3.64,3.7,2,3.6,3.4,2,3.5,3.6,2.13,3.68,3.85,2.01,3.51,3.58,1.8,2,1.85,2.03,1.92,2.07,1.81,1.99,-0.25,1.7,2.1,1.75,2.18,1.8,2.18,1.74,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,29/08/2020,17:30,Cercle Brugge,Kortrijk,,,,,,,2.25,3.5,2.9,2.3,3.5,3,2.3,3.25,2.95,2.31,3.48,3.09,2.25,3.4,3,2.25,3.5,3,2.43,3.8,3.2,2.3,3.42,2.99,1.8,2,1.85,2.04,1.9,2.13,1.79,2.01,-0.25,2,1.85,2.01,1.89,2.06,1.92,1.98,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,29/08/2020,17:30,Waasland-Beveren,Oud-Heverlee Leuven,,,,,,,2.5,3.5,2.62,2.6,3.5,2.65,2.55,3.25,2.6,2.66,3.56,2.58,2.55,3.5,2.55,2.55,3.5,2.63,2.71,3.74,2.8,2.58,3.45,2.59,1.83,2.02,1.85,2.03,1.92,2.07,1.81,1.99,0,1.93,1.93,1.98,1.92,1.99,2.02,1.92,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,29/08/2020,19:45,Mouscron,Waregem,,,,,,,2.87,3.4,2.37,2.8,3.4,2.5,2.7,3.25,2.45,2.8,3.47,2.5,2.7,3.4,2.45,2.75,3.5,2.45,2.88,3.78,2.57,2.75,3.42,2.46,1.75,2.05,1.78,2.09,1.85,2.16,1.76,2.06,0,2.05,1.8,2.06,1.84,2.1,1.9,2.04,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,30/08/2020,12:30,Genk,Club Brugge,,,,,,,2.8,3.6,2.3,3,3.5,2.3,3.05,3.15,2.25,3.25,3.45,2.23,3.1,3.4,2.2,3.1,3.4,2.25,3.32,3.68,2.36,3.09,3.38,2.25,1.95,1.9,1.95,1.92,2.01,1.98,1.92,1.87,0.25,1.9,1.95,1.95,1.93,1.95,2.04,1.9,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,30/08/2020,15:00,Beerschot VA,Standard,,,,,,,2.9,3.5,2.25,2.95,3.5,2.35,2.9,3.3,2.3,3.02,3.46,2.35,2.9,3.4,2.3,3,3.4,2.3,3.14,3.6,2.46,2.94,3.42,2.31,1.8,2,1.83,2.03,1.9,2.1,1.79,2,0.25,1.83,2.02,1.85,2.04,1.89,2.07,1.82,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,30/08/2020,17:15,Charleroi,Antwerp,,,,,,,2.1,3.4,3.3,2.2,3.5,3.2,2.2,3.25,3.15,2.19,3.49,3.32,2.15,3.5,3.1,2.2,3.4,3.25,2.31,3.7,3.35,2.19,3.4,3.2,1.85,1.95,1.96,1.91,1.99,2,1.89,1.9,-0.25,1.9,1.95,1.89,1.99,1.95,1.99,1.9,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,30/08/2020,19:45,Gent,Mechelen,,,,,,,1.66,4,4.33,1.72,4.1,4.4,1.73,3.7,4.2,1.78,3.97,4.37,1.7,3.9,4.4,1.73,3.9,4.4,1.8,4.2,4.75,1.74,3.91,4.3,1.65,2.2,1.65,2.32,1.71,2.39,1.63,2.25,-0.75,1.98,1.88,1.99,1.89,2.01,1.94,1.96,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,28/08/2020,20:00,Lyon,Dijon,,,,,,,1.28,5.75,9,1.3,5.5,10,1.33,5.25,10,1.31,5.68,10.21,1.27,5.5,11,1.29,5.25,11,1.35,6.05,11.75,1.3,5.41,10.01,1.66,2.2,1.68,2.3,1.74,2.39,1.66,2.24,-1.5,1.96,1.94,2.04,1.88,2,2.01,1.92,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,29/08/2020,16:00,Rennes,Montpellier,,,,,,,2,3.3,3.8,2,3.3,4,2.1,3.1,3.95,2.07,3.31,3.97,2,3.3,3.9,2,3.25,4,2.1,3.48,4.15,2.04,3.28,3.9,2.3,1.61,2.38,1.64,2.43,1.7,2.31,1.62,-0.5,2.05,1.85,2.07,1.85,2.07,1.88,2.03,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,29/08/2020,20:00,Strasbourg,Nice,,,,,,,2.2,3.3,3.3,2.25,3.3,3.3,2.3,3.15,3.3,2.28,3.35,3.32,2.2,3.3,3.3,2.25,3.25,3.3,2.31,3.52,3.5,2.23,3.31,3.31,2,1.8,2.11,1.8,2.19,1.85,2.06,1.77,-0.25,1.95,1.95,1.97,1.95,1.97,1.99,1.92,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,30/08/2020,12:00,Reims,Lille,,,,,,,3,3.1,2.45,3.1,3,2.55,3.05,2.85,2.6,3.07,2.99,2.64,3,3,2.55,3,3,2.5,3.15,3.16,2.71,3.03,3,2.56,2.5,1.53,2.62,1.54,2.68,1.59,2.52,1.52,0,2.13,1.78,2.11,1.81,2.19,1.85,2.11,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,30/08/2020,14:00,Angers,Bordeaux,,,,,,,2.25,3.1,3.4,2.25,3.1,3.5,2.3,2.95,3.45,2.32,3.13,3.47,2.25,3.1,3.4,2.25,3,3.5,2.4,3.25,3.6,2.28,3.1,3.44,2.5,1.53,2.65,1.53,2.71,1.6,2.55,1.51,-0.25,1.96,1.94,1.98,1.93,1.99,1.97,1.94,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,30/08/2020,14:00,Metz,Monaco,,,,,,,3.75,3.4,2,3.75,3.5,2,3.8,3.3,2.05,3.81,3.61,2.02,3.7,3.5,2,3.75,3.3,2,3.98,3.65,2.1,3.74,3.48,2.01,2,1.8,2,1.9,2.08,1.94,1.98,1.83,0.5,1.86,2.04,1.9,2.02,1.9,2.06,1.84,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,30/08/2020,14:00,Nantes,Nimes,,,,,,,1.95,3.2,4.2,1.91,3.3,4.5,2,3.1,4.2,1.99,3.27,4.42,1.91,3.25,4.33,1.93,3.2,4.2,2.03,3.44,4.72,1.96,3.25,4.28,2.3,1.61,2.4,1.63,2.46,1.68,2.32,1.61,-0.5,1.98,1.92,1.99,1.93,2.03,1.95,1.96,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,30/08/2020,14:00,St Etienne,Lorient,,,,,,,2.2,3.2,3.4,2.3,3.2,3.3,2.3,3.05,3.3,2.3,3.28,3.35,2.25,3.3,3.25,2.25,3.13,3.3,2.36,3.46,3.55,2.27,3.23,3.29,2.3,1.61,2.28,1.69,2.37,1.73,2.25,1.64,-0.25,1.96,1.94,1.98,1.93,2,1.96,1.94,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,30/08/2020,20:00,Brest,Marseille,,,,,,,3,3.5,2,,,,3.3,3.5,2.15,,,,,,,,,,3.56,3.85,2.18,3.36,3.64,2.09,1.8,2,,,1.89,2.11,1.79,2.01,0.25,,,,,2.08,1.84,2.01,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
