league,date,home_team,away_team,hm_odds,dr_odds,aw_odds,hmGfAtHm,hmGagAtHm,hmWatHm,hmDrAtHm,hmLosAtHm,awGfAtAw,awGagAtAw,awWatAw,awDrAtAw,awLosAtAw,hmOppGf,hmOppGagg,hmOppWin,hmOppDraw,hmOppLoss,awOppGf,awOppGagg,awOppWin,awOppDraw,awOppLoss,ftr
F1,28/08/2020 00:00:00,Lyon,Dijon,1.28,5.75,9.00,1.1253180926239787,0.4554495164894205,0.42834729987659953,0.3398856303667762,0.2317670697566244,0.49132458081525665,1.858375913207891,0,0.2911692133991726,0.7088307866008272,0.9206745872861317,1.6724201056526176,0.2205766154509623,0.1499518153803336,0.6294715691687042,1.8362891270329864,1.0519196397733528,0.5378668782996134,0.2052466395018621,0.2568864821985245,H
B1,28/08/2020 00:00:00,Oostende,Anderlecht,3.50,3.75,1.95,1.2152750245608952,1.8616558789696651,0.2826899257910087,0.20506421273617595,0.5122458614728153,1.3326663091304967,0.9880345685584465,0.3975979854079812,0.38201038191609604,0.22039163267592266,1.1584434241491721,1.666146006392188,0.3024595809077044,0.24174111999960135,0.4557992990926943,1.5236343148907872,1.4185322458351735,0.43395564755806343,0.20292012620471903,0.3631242262372176,D
F2,29/08/2020 00:00:00,Caen,Ajaccio,2.45,2.90,3.10,1.357807031260009,1.0236768668069622,0.44222525597765394,0.29287316552110954,0.2649015785012365,1.4785791111675428,0.5242576762241812,0.6229457769196726,0.28148782561359115,0.09556639746673622,0.8821537864951399,1.0822384242684073,0.2971791508674174,0.3597461605597783,0.3430746885728043,1.1773867036608388,1.0693340483691485,0.40051351759309306,0.28421133447843966,0.31527514792846734,H
B1,29/08/2020 00:00:00,Cercle Brugge,Kortrijk,2.25,3.50,2.90,1.6674810965865925,1.2801636683125603,0.6804144340272397,0.04636572700856116,0.2732198389641993,1.6306255725129,1.2180438653543855,0.6070355199093957,0.2216615588072055,0.17130292128339905,1.3174926391339612,1.472118737783388,0.32753809603141437,0.286612084236647,0.3858498197319386,1.625048095599317,1.308099275838054,0.412042012202367,0.28342952766544666,0.3045284601321862,A
F2,29/08/2020 00:00:00,Chateauroux,Auxerre,3.20,3.00,2.37,1.0933977464990206,2.077025340810721,0.33988336380425793,0.18702462739859652,0.4730920087971456,0.7411627155353734,1.3800905290692123,0.23539793487250754,0.11116403992843493,0.6534380251990576,1.065259589448814,1.1779864582661013,0.2872648448688472,0.32279042899342714,0.3899447261377257,1.136080713357051,1.008555156770201,0.3872125759205594,0.26123843969406735,0.35154898438537313,A
B1,29/08/2020 00:00:00,Eupen,St Truiden,2.00,3.50,3.60,0.8551677662282874,2.1328232800877713,0.30433973723688756,0.12496782659131936,0.5706924361717932,1.0014004446477711,2.1722637970156047,0.18273990277916324,0.11046928011234274,0.7067908171084939,1.183655033362785,1.505304740093049,0.24893413464471678,0.28166357038597417,0.46940229496930896,1.636625328817635,1.3547784605145907,0.4497918404765855,0.24711211816433204,0.3030960413590824,D
F2,29/08/2020 00:00:00,Grenoble,Toulouse,2.25,3.00,3.50,0.979935601897109,1.06916713281939,0.2163200470992129,0.4985706095528131,0.28510934334797416,0.5001141065812514,2.2599115771147886,0,0.11654439963652723,0.8834556003634729,0.9260387446431446,1.240427332742445,0.2837972655910227,0.3040227030735857,0.41218003133539155,1.3948958555098019,0.9854794578981197,0.4812245340189696,0.2679396760560765,0.2508357899249539,H
SC0,29/08/2020 00:00:00,Hamilton,Rangers,15.00,7.00,1.16,0.602995584550024,1.5581140733719159,0.16553108838367822,0.0947865936644423,0.7396823179518793,1.173063435491166,0.7625951152023028,0.3459848982012681,0.4838849396606906,0.1701301621380411,1.1749725645416018,1.558022559731477,0.30340994406178307,0.2056020046187506,0.4909880513194665,1.6571007210698085,1.1678258649572766,0.48554789952980953,0.2824208092140554,0.23203129125613503,A
SC0,29/08/2020 00:00:00,Kilmarnock,Dundee United,2.40,3.40,2.87,1.3956177699200145,1.6265275473570917,0.22641833208141443,0.20754096550033183,0.5660407024182538,1.4525784939183948,0.679907321984419,0.6952583462356202,0.20043332048191473,0.10430833328246518,1.1318518976854521,1.548103070067792,0.3001010673876061,0.27500872779934743,0.4248902048130464,1.4304225570098368,1.2246898246528253,0.4383063678010636,0.21007869568695808,0.3516149365119783,H
F2,29/08/2020 00:00:00,Le Havre,Amiens,2.20,3.10,3.50,1.2374194515948096,0.6598509030543067,0.4154625040242663,0.4484866380345847,0.136050857941149,0.944720749547842,1.895157713774426,0,0.5540157761831642,0.4459842238168358,1.0755331500403482,1.2901648999691182,0.30818759862496087,0.28808000543706735,0.4037323959379718,1.7010946633765738,0.8595017812992911,0.5661114808078048,0.1952548986992704,0.23863362049292464,H
