league,date,home_team,away_team,hm_odds,dr_odds,aw_odds,hmGfAtHm,hmGagAtHm,hmWatHm,hmDrAtHm,hmLosAtHm,awGfAtAw,awGagAtAw,awWatAw,awDrAtAw,awLosAtAw,ftr
F2,26/07/2019 00:00:00,Ajaccio,Le Havre,2.90,3.00,2.55,0.7184406035651112,1.0149586216753883,0.35312807528554646,0.2639735991980431,0.38289832551641045,0.723651752401174,0.7177242346731281,0.242162156820221,0.40518144533155,0.3526563978482291,D
F2,26/07/2019 00:00:00,Clermont,Chateauroux,1.75,3.50,4.75,0.9737783857535223,1.498639156011032,0.06594463182196657,0.49493640348095147,0.4391189646970821,1.1949931888842147,0.9774019674418872,0.4183284136942125,0.3131801391896515,0.2684914471161361,H
B1,26/07/2019 00:00:00,Genk,Kortrijk,1.36,4.75,8.50,1.3164879918455061,0.678359212689123,0.5215281851520531,0.2882433404513068,0.19022847439664015,1.6633245226195323,1.3307575597180805,0.4120074974072569,0.24353492535126117,0.344457577241482,H
F2,26/07/2019 00:00:00,Guingamp,Grenoble,1.66,3.60,5.25,0.8447924233666085,1.068912475610901,0.244306009400165,0.4871498938669084,0.2685440967329268,1.1289533303951154,1.7811769838423976,0.11412036024338051,0.3463223989292387,0.5395572408273808,D
F2,26/07/2019 00:00:00,Nancy,Orleans,2.10,3.20,3.60,1.2846163864443798,1.0275150391716157,0.6400662122229563,0,0.3599337877770436,1.6010793056773935,1.7562631871130694,0.35819954767172074,0.06856701224227481,0.5732334400860044,D
F2,26/07/2019 00:00:00,Niort,Troyes,3.25,3.00,2.37,0.7414863985218025,0.9778907525904822,0.14416514188773893,0.6607749638210957,0.1950598942911654,1.6191790357229678,0.5146640755862377,0.6130474378123187,0.38695256218768115,0,A
F2,26/07/2019 00:00:00,Sochaux,Caen,2.75,3.00,2.50,0.918984468289885,1.2232601876407843,0.3197771199991409,0.27647112891479747,0.4037517510860616,0.5126916211801908,1.501528332719137,0.22984381548772445,0.27272972523933753,0.497426459272938,D
D2,26/07/2019 00:00:00,Stuttgart,Hannover,1.75,3.75,4.33,1.6881306230290578,1.2052898552442217,0.3767408286174164,0.2934310471070223,0.32982812427556124,0.7870967058343471,2.568785821048678,0,0.23602572896496163,0.7639742710350383,H
B1,27/07/2019 00:00:00,Cercle Brugge,Standard,3.75,3.75,1.85,1.3130124730595218,1.6411631058840344,0.2192717867294369,0.33148354872964914,0.449244664540914,0.95983304017338,1.3376485347216513,0.3234846677446941,0.26013121427580077,0.4163841179795052,A
D2,27/07/2019 00:00:00,Dresden,Nurnberg,3.00,3.25,2.37,1.7543162724864478,0.986692325454655,0.4780159219967331,0.3964742279912379,0.12550985001202897,0.51110009419644,2.2433870718670557,0,0.11288859387623332,0.8871114061237666,A
D2,27/07/2019 00:00:00,Holstein Kiel,Sandhausen,2.00,3.60,3.50,1.857310497123998,1.2736078744352377,0.5000795402405704,0.08360171068485969,0.4163187490745697,1.6199276472181368,1.723396131793003,0.3600803253162645,0.3467458055962352,0.2931738690875003,D
F2,27/07/2019 00:00:00,Le Mans,Lens,3.00,3.20,2.37,0.711314557845916,1.6271211353610466,0.31558983765512594,0.19699894284953573,0.48741121949533844,0.6373506871225632,0.6951706631746258,0.36040017648699435,0.17173709514408286,0.46786272836892284,A
D2,27/07/2019 00:00:00,Osnabruck,Heidenheim,2.40,3.25,2.90,0.9111808434405446,1.6465788729179762,0.15153817800573502,0.3215162156865507,0.5269456063077143,1.3652646868337344,1.2710396955530407,0.4861932099864858,0.26702421900014567,0.2467825710133686,A
B1,27/07/2019 00:00:00,St Truiden,Mouscron,1.90,3.75,3.75,1.9468643005725121,1.4125570591886623,0.5115304887147147,0.225112450979211,0.26335706030607414,1.374888918403642,1.2158616507726856,0.47681913911180174,0.2053889894073525,0.31779187148084553,A
