league,date,home,away,prediction,odds,probability,real
D1,29/05/2020,Freiburg,Leverkusen,Home,4.75,0.065248474,,
D1,29/05/2020,Freiburg,Leverkusen,Draw,4.2,0.10309379,,
D1,29/05/2020,Freiburg,Leverkusen,Away,1.66,0.8316577,,
D1,30/05/2020,Hertha,Augsburg,Home,1.9,0.6059912,,
D1,30/05/2020,Hertha,Augsburg,Draw,3.75,0.1534699,,
D1,30/05/2020,Hertha,Augsburg,Away,3.75,0.24053892,,
D1,30/05/2020,Mainz,Hoffenheim,Home,2.75,0.33996207,,
D1,30/05/2020,Mainz,Hoffenheim,Draw,3.75,0.19076641,,
D1,30/05/2020,Mainz,Hoffenheim,Away,2.37,0.46927154,,
D1,30/05/2020,Schalke 04,Werder Bremen,Home,2.5,0.40028453,,
D1,30/05/2020,Schalke 04,Werder Bremen,Draw,3.4,0.2412107,,
D1,30/05/2020,Schalke 04,Werder Bremen,Away,2.8,0.35850477,,
D1,30/05/2020,Wolfsburg,Ein Frankfurt,Home,1.95,0.719834,,
D1,30/05/2020,Wolfsburg,Ein Frankfurt,Draw,3.75,0.080440536,,
D1,30/05/2020,Wolfsburg,Ein Frankfurt,Away,3.75,0.1997254,,
D1,30/05/2020,Bayern Munich,Fortuna Dusseldorf,Home,1.08,0.99845624,,
D1,30/05/2020,Bayern Munich,Fortuna Dusseldorf,Draw,13,0.0011187606,,
D1,30/05/2020,Bayern Munich,Fortuna Dusseldorf,Away,19,0.00042501278,,
D1,31/05/2020,M'gladbach,Union Berlin,Home,1.5,0.8344706,,
D1,31/05/2020,M'gladbach,Union Berlin,Draw,4.5,0.07821579,,
D1,31/05/2020,M'gladbach,Union Berlin,Away,6,0.087313555,,
D1,31/05/2020,Paderborn,Dortmund,Home,8.5,0.009050666,,
D1,31/05/2020,Paderborn,Dortmund,Draw,5.5,0.029895462,,
D1,31/05/2020,Paderborn,Dortmund,Away,1.33,0.96105385,,
D1,01/06/2020,FC Koln,RB Leipzig,Home,5.5,0.04482632,,
D1,01/06/2020,FC Koln,RB Leipzig,Draw,4.6,0.08157073,,
D1,01/06/2020,FC Koln,RB Leipzig,Away,1.53,0.8736029,,
D2,29/05/2020,Darmstadt,Greuther Furth,Home,2.05,0.5970184,,
D2,29/05/2020,Darmstadt,Greuther Furth,Draw,3.4,0.16513394,,
D2,29/05/2020,Darmstadt,Greuther Furth,Away,3.5,0.23784763,,
D2,29/05/2020,Osnabruck,Regensburg,Home,2.3,0.49616528,,
D2,29/05/2020,Osnabruck,Regensburg,Draw,3.4,0.26990053,,
D2,29/05/2020,Osnabruck,Regensburg,Away,3,0.23393416,,
D2,30/05/2020,Holstein Kiel,Bielefeld,Home,2.8,0.36937782,,
D2,30/05/2020,Holstein Kiel,Bielefeld,Draw,3.3,0.13016824,,
D2,30/05/2020,Holstein Kiel,Bielefeld,Away,2.4,0.50045395,,
D2,30/05/2020,Karlsruhe,St Pauli,Home,2.5,0.3852453,,
D2,30/05/2020,Karlsruhe,St Pauli,Draw,3.25,0.16396019,,
D2,30/05/2020,Karlsruhe,St Pauli,Away,2.8,0.45079452,,
D2,30/05/2020,Nurnberg,Bochum,Home,2.15,0.5182995,,
D2,30/05/2020,Nurnberg,Bochum,Draw,3.3,0.2272802,,
D2,30/05/2020,Nurnberg,Bochum,Away,3.4,0.25442028,,
D2,30/05/2020,Sandhausen,Hannover,Home,2.8,0.21850654,,
D2,30/05/2020,Sandhausen,Hannover,Draw,3.2,0.23418543,,
D2,30/05/2020,Sandhausen,Hannover,Away,2.5,0.547308,,
D2,31/05/2020,Dresden,Stuttgart,Home,8,0.00931063,,
D2,31/05/2020,Dresden,Stuttgart,Draw,4.75,0.02760001,,
D2,31/05/2020,Dresden,Stuttgart,Away,1.36,0.96308935,,
D2,31/05/2020,Hamburg,Wehen,Home,1.4,0.85360163,,
D2,31/05/2020,Hamburg,Wehen,Draw,4.75,0.085940294,,
D2,31/05/2020,Hamburg,Wehen,Away,7,0.060458057,,
D2,31/05/2020,Heidenheim,Erzgebirge Aue,Home,1.9,0.617204,,
D2,31/05/2020,Heidenheim,Erzgebirge Aue,Draw,3.5,0.17488788,,
D2,31/05/2020,Heidenheim,Erzgebirge Aue,Away,4,0.20790812,,
