league,date,home,away,p(Over),p(Under),Over
B1,18/09/2021 00:00:00,Charleroi,Club Brugge,0.5837277,0.4162723,
B1,19/09/2021 00:00:00,Kortrijk,Gent,0.49519813,0.50480187,
D1,18/09/2021 00:00:00,Augsburg,Mgladbach,0.5390843,0.46091568,
D1,18/09/2021 00:00:00,Bielefeld,Hoffenheim,0.46356928,0.5364307,
D1,18/09/2021 00:00:00,FC Koln,RB Leipzig,0.5246801,0.47531992,
D1,19/09/2021 00:00:00,Dortmund,Union Berlin,0.585532,0.414468,
D2,17/09/2021 00:00:00,Nurnberg,Hansa Rostock,0.4792989,0.5207011,
D2,18/09/2021 00:00:00,Fortuna Dusseldorf,Regensburg,0.5573797,0.44262028,
D2,18/09/2021 00:00:00,Sandhausen,Heidenheim,0.49145916,0.5085408,
D2,19/09/2021 00:00:00,Darmstadt,Dresden,0.61464983,0.3853502,
D2,19/09/2021 00:00:00,St Pauli,Ingolstadt,0.5813166,0.41868344,
E0,18/09/2021 00:00:00,Wolves,Brentford,0.46185398,0.538146,
E0,18/09/2021 00:00:00,Liverpool,Crystal Palace,0.5209204,0.47907963,
E0,18/09/2021 00:00:00,Norwich,Watford,0.49429348,0.50570655,
E0,19/09/2021 00:00:00,Brighton,Leicester,0.49401882,0.5059812,
E0,19/09/2021 00:00:00,Tottenham,Chelsea,0.48874047,0.5112595,
E1,18/09/2021 00:00:00,Barnsley,Blackburn,0.4183337,0.5816663,
E1,18/09/2021 00:00:00,Derby,Stoke,0.4368475,0.5631525,
E1,18/09/2021 00:00:00,Huddersfield,Nottm Forest,0.446783,0.553217,
E1,18/09/2021 00:00:00,Middlesbrough,Blackpool,0.4990004,0.50099957,
E1,18/09/2021 00:00:00,Peterboro,Birmingham,0.50076485,0.49923515,
E1,18/09/2021 00:00:00,QPR,Bristol City,0.540853,0.45914698,
E2,18/09/2021 00:00:00,AFC Wimbledon,Plymouth,0.54773676,0.4522632,
E2,18/09/2021 00:00:00,Cheltenham,Oxford,0.5146142,0.4853858,
E2,18/09/2021 00:00:00,Doncaster,Morecambe,0.4664739,0.53352606,
E2,18/09/2021 00:00:00,Gillingham,Milton Keynes Dons,0.49747118,0.5025288,
E2,18/09/2021 00:00:00,Portsmouth,Cambridge,0.48331994,0.51668006,
E2,18/09/2021 00:00:00,Wycombe,Charlton,0.45954233,0.54045767,
E3,18/09/2021 00:00:00,Bradford,Barrow,0.46577576,0.5342242,
E3,18/09/2021 00:00:00,Carlisle,Scunthorpe,0.4213955,0.5786045,
E3,18/09/2021 00:00:00,Newport County,Walsall,0.42820817,0.5717918,
E3,18/09/2021 00:00:00,Port Vale,Harrogate,0.4900768,0.5099232,
E3,18/09/2021 00:00:00,Tranmere,Salford,0.3785448,0.6214552,
EC,18/09/2021 00:00:00,Grimsby,Eastleigh,0.42234442,0.5776556,
EC,18/09/2021 00:00:00,Torquay,Southend,0.4042431,0.5957569,
EC,18/09/2021 00:00:00,Wrexham,Dag and Red,0.53661865,0.46338135,
EC,18/09/2021 00:00:00,Weymouth,Dover Athletic,0.40678883,0.5932112,
F1,18/09/2021 00:00:00,Lens,Lille,0.5428774,0.45712262,
F1,19/09/2021 00:00:00,Nice,Monaco,0.46406683,0.5359332,
F1,19/09/2021 00:00:00,Clermont,Brest,0.51495653,0.4850435,
F1,19/09/2021 00:00:00,Troyes,Montpellier,0.5335212,0.4664788,
F1,19/09/2021 00:00:00,Paris SG,Lyon,0.6290514,0.37094858,
F2,18/09/2021 00:00:00,Toulouse,Grenoble,0.4579629,0.5420371,
F2,18/09/2021 00:00:00,Dijon,Dunkerque,0.46783313,0.5321669,
F2,18/09/2021 00:00:00,Nimes,Amiens,0.4186755,0.58132446,
F2,18/09/2021 00:00:00,Pau FC,Valenciennes,0.5053227,0.4946773,
F2,18/09/2021 00:00:00,Rodez,Ajaccio,0.38024706,0.61975294,
G1,18/09/2021 00:00:00,Giannina,Panathinaikos,0.36497185,0.6350281,
G1,19/09/2021 00:00:00,Atromitos,Panetolikos,0.37937,0.62062997,
G1,19/09/2021 00:00:00,Asteras Tripolis,PAOK,0.38390225,0.61609775,
I1,17/09/2021 00:00:00,Sassuolo,Torino,0.4721555,0.5278445,
I1,18/09/2021 00:00:00,Inter,Bologna,0.5523613,0.44763872,
I1,19/09/2021 00:00:00,Empoli,Sampdoria,0.5394394,0.46056062,
I1,19/09/2021 00:00:00,Lazio,Cagliari,0.5675051,0.4324949,
I1,19/09/2021 00:00:00,Juventus,Milan,0.5525485,0.4474515,
I2,18/09/2021 00:00:00,Ascoli,Benevento,0.4508229,0.5491771,
I2,18/09/2021 00:00:00,Monza,Ternana,0.5509158,0.44908422,
I2,18/09/2021 00:00:00,Reggina,Spal,0.45856273,0.54143727,
I2,18/09/2021 00:00:00,Cittadella,Pordenone,0.48544416,0.5145558,
N1,18/09/2021 00:00:00,Willem II,Groningen,0.49633974,0.50366026,
N1,18/09/2021 00:00:00,Utrecht,Waalwijk,0.5744422,0.42555782,
N1,19/09/2021 00:00:00,PSV Eindhoven,Feyenoord,0.64852995,0.35147008,
N1,19/09/2021 00:00:00,Vitesse,Twente,0.47218186,0.52781814,
P1,18/09/2021 00:00:00,Famalicao,Maritimo,0.4585092,0.5414908,
P1,19/09/2021 00:00:00,Porto,Moreirense,0.52215225,0.47784773,
P1,20/09/2021 00:00:00,Benfica,Boavista,0.506458,0.49354202,
SC0,18/09/2021 00:00:00,Aberdeen,St Johnstone,0.41255453,0.5874455,
SC0,18/09/2021 00:00:00,Ross County,Hearts,0.4701798,0.5298202,
SC0,19/09/2021 00:00:00,Livingston,Celtic,0.50285167,0.49714833,
SC1,18/09/2021 00:00:00,Dunfermline,Inverness C,0.4490238,0.5509762,
SC1,18/09/2021 00:00:00,Morton,Raith Rvs,0.47570485,0.52429515,
SC1,18/09/2021 00:00:00,Queen of Sth,Arbroath,0.46496564,0.53503436,
SC2,18/09/2021 00:00:00,Clyde,Queens Park,0.4418009,0.5581991,
SC2,18/09/2021 00:00:00,Montrose,Alloa,0.49664924,0.5033508,
SC3,17/09/2021 00:00:00,Edinburgh City,Stirling,0.48728797,0.51271206,
SC3,18/09/2021 00:00:00,Cowdenbeath,Forfar,0.4354817,0.5645183,
SC3,18/09/2021 00:00:00,Stranraer,Stenhousemuir,0.506363,0.493637,
SP1,18/09/2021 00:00:00,Vallecano,Getafe,0.4940498,0.5059502,
SP1,18/09/2021 00:00:00,Elche,Levante,0.3610854,0.6389146,
SP1,19/09/2021 00:00:00,Mallorca,Villarreal,0.42623112,0.5737689,
SP1,19/09/2021 00:00:00,Betis,Espanol,0.4172858,0.5827142,
SP1,20/09/2021 00:00:00,Barcelona,Granada,0.5375265,0.46247354,
SP2,18/09/2021 00:00:00,Cartagena,Lugo,0.4350585,0.5649415,
SP2,19/09/2021 00:00:00,Ponferradina,Malaga,0.4190038,0.5809962,
SP2,19/09/2021 00:00:00,Tenerife,Mirandes,0.4313074,0.5686926,
T1,18/09/2021 00:00:00,Sivasspor,Gaziantep,0.45059004,0.5494099,
T1,19/09/2021 00:00:00,Buyuksehyr,Fenerbahce,0.4399157,0.5600843,
