league,date,home,away,p(H),p(D),p(A),ftr
B1,18/09/2021 00:00:00,Charleroi,Club Brugge,0.34513167,0.23447347,0.42039484,
B1,19/09/2021 00:00:00,Kortrijk,Gent,0.24470256,0.25921357,0.49608392,
D1,18/09/2021 00:00:00,Augsburg,Mgladbach,0.30550814,0.2735006,0.4209912,
D1,18/09/2021 00:00:00,Bielefeld,Hoffenheim,0.36383268,0.28996304,0.3462043,
D1,18/09/2021 00:00:00,FC Koln,RB Leipzig,0.3606825,0.26033708,0.37898043,
D1,19/09/2021 00:00:00,Dortmund,Union Berlin,0.68138015,0.19865565,0.11996418,
D2,17/09/2021 00:00:00,Nurnberg,Hansa Rostock,0.525635,0.26160282,0.21276216,
D2,18/09/2021 00:00:00,Fortuna Dusseldorf,Regensburg,0.49643782,0.24143201,0.26213014,
D2,18/09/2021 00:00:00,Sandhausen,Heidenheim,0.32675323,0.2712492,0.4019976,
D2,19/09/2021 00:00:00,Darmstadt,Dresden,0.57056034,0.2340239,0.1954157,
D2,19/09/2021 00:00:00,St Pauli,Ingolstadt,0.6945462,0.19275646,0.11269726,
E0,18/09/2021 00:00:00,Wolves,Brentford,0.2530537,0.28280795,0.46413836,
E0,18/09/2021 00:00:00,Liverpool,Crystal Palace,0.7090541,0.18872708,0.1022188,
E0,18/09/2021 00:00:00,Norwich,Watford,0.43138734,0.26490217,0.30371046,
E0,19/09/2021 00:00:00,Brighton,Leicester,0.43163615,0.26972142,0.2986424,
E0,19/09/2021 00:00:00,Tottenham,Chelsea,0.32770687,0.27119744,0.40109563,
E1,18/09/2021 00:00:00,Barnsley,Blackburn,0.4042821,0.30802396,0.28769392,
E1,18/09/2021 00:00:00,Derby,Stoke,0.37352577,0.28240457,0.34406966,
E1,18/09/2021 00:00:00,Huddersfield,Nottm Forest,0.3727721,0.30551958,0.32170835,
E1,18/09/2021 00:00:00,Middlesbrough,Blackpool,0.3827735,0.2757472,0.3414793,
E1,18/09/2021 00:00:00,Peterboro,Birmingham,0.32116964,0.27228394,0.4065464,
E1,18/09/2021 00:00:00,QPR,Bristol City,0.50806,0.24609019,0.24584988,
E2,18/09/2021 00:00:00,AFC Wimbledon,Plymouth,0.6146424,0.2182651,0.16709249,
E2,18/09/2021 00:00:00,Cheltenham,Oxford,0.37591425,0.26322192,0.36086383,
E2,18/09/2021 00:00:00,Doncaster,Morecambe,0.2816657,0.27121797,0.44711635,
E2,18/09/2021 00:00:00,Gillingham,Milton Keynes Dons,0.3166419,0.28669134,0.3966668,
E2,18/09/2021 00:00:00,Portsmouth,Cambridge,0.37055987,0.28809276,0.34134734,
E2,18/09/2021 00:00:00,Wycombe,Charlton,0.4218972,0.2880551,0.29004773,
E3,18/09/2021 00:00:00,Bradford,Barrow,0.49211502,0.26472476,0.24316016,
E3,18/09/2021 00:00:00,Carlisle,Scunthorpe,0.614784,0.24081898,0.144397,
E3,18/09/2021 00:00:00,Newport County,Walsall,0.4487116,0.28827533,0.2630131,
E3,18/09/2021 00:00:00,Port Vale,Harrogate,0.25814378,0.26689926,0.47495696,
E3,18/09/2021 00:00:00,Tranmere,Salford,0.36610708,0.29592872,0.3379642,
EC,18/09/2021 00:00:00,Grimsby,Eastleigh,0.41927403,0.30076906,0.2799569,
EC,18/09/2021 00:00:00,Torquay,Southend,0.4418331,0.29452476,0.26364213,
EC,18/09/2021 00:00:00,Wrexham,Dag and Red,0.695921,0.20145684,0.1026222,
EC,18/09/2021 00:00:00,Weymouth,Dover Athletic,0.106572196,0.24774885,0.64567894,
F1,18/09/2021 00:00:00,Lens,Lille,0.29379174,0.2570414,0.44916683,
F1,19/09/2021 00:00:00,Nice,Monaco,0.3019727,0.27229515,0.4257321,
F1,19/09/2021 00:00:00,Clermont,Brest,0.55335265,0.24889179,0.19775553,
F1,19/09/2021 00:00:00,Troyes,Montpellier,0.54086465,0.2578008,0.20133457,
F1,19/09/2021 00:00:00,Paris SG,Lyon,0.5542526,0.22626863,0.21947883,
F2,18/09/2021 00:00:00,Toulouse,Grenoble,0.6204283,0.23499312,0.14457858,
