Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
B1,17/09/2021,19:45,Cercle Brugge,Eupen,,,,,,,2.05,3.6,3.4,2.1,3.6,3.4,2.1,3.45,3.15,2.17,3.56,3.41,2.55,3.3,2.6,2.05,3.5,3.4,2.21,3.75,3.45,2.11,3.52,3.33,1.85,1.95,1.88,1.98,1.92,2.1,1.85,1.96,-0.25,1.88,1.98,1.88,2.01,1.93,2.08,1.84,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,18/09/2021,15:15,Oostende,Beerschot VA,,,,,,,1.7,4,4.2,1.75,4,4.33,1.77,3.85,4,1.75,3.99,4.43,1.75,3.7,4.2,1.75,3.6,4.5,1.8,4.1,4.5,1.75,3.91,4.29,1.65,2.2,1.7,2.17,1.71,2.31,1.67,2.19,-0.75,1.98,1.88,1.96,1.88,2.04,1.92,1.96,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,18/09/2021,17:30,Mechelen,Oud-Heverlee Leuven,,,,,,,1.66,3.8,5,1.7,4.2,4.5,1.7,4,4.3,1.72,4.07,4.49,1.75,3.9,4,1.7,4,4.33,1.75,4.38,5,1.71,4.07,4.31,1.4,2.87,1.43,2.82,1.45,2.92,1.43,2.78,-0.75,1.88,1.98,1.91,1.94,1.94,2.03,1.9,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,18/09/2021,17:30,St. Gilloise,Waregem,,,,,,,1.22,6,11,1.22,6.75,11.5,1.22,6.75,11,1.22,6.61,11.35,1.22,5.5,12,1.2,6,13,1.24,7,13,1.22,6.5,11.37,1.36,3.1,1.41,2.89,1.45,3.1,1.41,2.85,-2,1.98,1.88,2.06,1.78,2.1,1.89,2.04,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,18/09/2021,19:45,Charleroi,Club Brugge,,,,,,,4.75,3.8,1.65,4.75,4,1.7,4.4,4.1,1.67,4.55,4.3,1.68,4.33,3.6,1.75,4.6,3.8,1.7,4.75,4.4,1.75,4.49,4.09,1.69,1.65,2.2,1.64,2.28,1.74,2.31,1.66,2.22,0.75,1.98,1.88,1.99,1.87,2.03,1.97,1.97,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,19/09/2021,12:30,St Truiden,Genk,,,,,,,4.2,3.6,1.83,4.1,3.8,1.85,3.8,3.75,1.85,3.97,3.88,1.86,4,3.6,1.8,3.9,3.75,1.83,4.2,3.96,1.9,3.87,3.78,1.85,1.66,2.15,1.69,2.19,1.71,2.28,1.68,2.18,0.5,2,1.85,1.99,1.86,2.05,1.9,1.98,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,19/09/2021,15:00,Antwerp,Seraing,,,,,,,1.5,4.33,5.5,1.53,4.4,6,1.55,4.5,5.25,1.55,4.5,5.48,1.5,4.2,5.8,1.53,4.2,5.5,1.58,4.6,6,1.53,4.42,5.42,1.53,2.4,1.56,2.46,1.57,2.55,1.54,2.43,-1,1.9,1.95,1.92,1.93,1.96,2.03,1.89,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,19/09/2021,17:30,Standard,Anderlecht,,,,,,,3.4,3.3,2.05,3.2,3.7,2.15,3,3.45,2.15,3.2,3.6,2.2,3,3.4,2.2,3.13,3.5,2.15,3.4,3.7,2.28,3.12,3.49,2.18,1.8,2,1.9,1.93,1.92,2.05,1.84,1.96,0.25,1.95,1.9,1.94,1.91,1.99,1.95,1.93,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,19/09/2021,20:00,Kortrijk,Gent,,,,,,,4.5,3.8,1.75,4.1,4,1.8,3.75,3.95,1.8,4.04,4.09,1.8,3.8,3.7,1.83,4,3.8,1.8,4.5,4.2,1.84,3.94,3.95,1.81,1.65,2.2,1.64,2.28,1.69,2.35,1.63,2.26,0.75,1.83,2.02,1.83,2.03,1.85,2.14,1.8,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,17/09/2021,19:30,Hertha,Greuther Furth,,,,,,,1.75,3.75,4.2,1.75,3.75,4.75,1.83,3.7,4.2,1.84,3.75,4.67,1.75,3.75,4.5,1.8,3.8,4.4,1.88,3.9,5,1.81,3.75,4.51,1.86,2.04,1.87,2.04,1.89,2.07,1.83,2.01,-0.75,2.08,1.85,2.09,1.85,2.11,1.89,2.05,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
