ThisDiv,Date,HomeTeam,Hwpg,Hdpg,Hlpg,Hgspg,Hgcpg,Hstfpg,Hstapg,Hsfpg,Hsapg,AwayTeam,Awpg,Adpg,Alpg,Agspg,Agcpg,Astfpg,Astapg,Asfpg,Asapg,RowValid,FTR,Over
E3,01/05/2001 00:00:00,Southend,0.37272692,0.36591685,0.2613563,1.1092063,1.1915118,6.24683,4.11834,12.825659,7.5793176,Hull,0.40985084,0.281041,0.30910823,0.97438323,1.009716,2.9290621,4.608336,6.774012,9.67921,True,D,N
E2,05/05/2001 00:00:00,Brentford,0.3131781,0.5056188,0.18120313,1.5735654,1.2529422,6.2518387,4.848772,12.599754,8.98742,Bury,0.29462498,0.26825264,0.43712237,0.9376901,1.539544,3.8533947,5.7521014,8.409614,10.206508,True,H,Y
E0,05/05/2001 00:00:00,Chelsea,0.65686655,0.08775933,0.25537416,1.8315662,1.0713644,5.73498,3.6674614,13.942168,7.788011,Everton,0.19723016,0,0.80276984,0.7459542,1.8106172,3.199985,5.851355,7.162553,12.039406,True,H,Y
E3,08/05/2001 00:00:00,Southend,0.2867602,0.47432214,0.2389177,0.99189764,1.1211032,6.429235,4.0002465,13.215933,7.3357935,Mansfield,0.15448804,0.20121154,0.6443004,1.036299,1.645217,3.6601262,6.5317316,8.129435,13.155042,True,H,Y
D1,12/05/2001 00:00:00,Hansa Rostock,0.6908204,0.17086363,0.13831605,1.7187135,1.0272584,4.5237265,4.9392977,11.289251,13.1158085,Munich 1860,0.29491022,0.09375864,0.6113311,1.2757958,1.9793668,4.5947876,8.785382,11.412518,16.959179,True,D,N
D1,12/05/2001 00:00:00,Hertha,0.68374676,0.05519526,0.26105803,1.8710294,1.1559184,5.278486,3.6245968,13.805652,9.091841,Leverkusen,0.60992265,0,0.3900773,1.5422059,1.1328161,4.0294333,5.3629847,10.063422,11.379326,True,D,N
SC0,28/07/2001 00:00:00,Celtic,0.7544882,0.09045153,0.1550603,1.8739294,0.61370957,7.2676277,2.8378952,17.096142,5.7455335,St Johnstone,0.18357448,0.47192326,0.34450227,0.70214856,0.9908176,3.6425955,5.135925,9.683546,11.702405,True,H,Y
D1,28/07/2001 00:00:00,Cottbus,0.5888261,0.12273909,0.28843468,1.738735,1.0843154,6.3682365,5.8454213,12.98565,11.008865,Hamburg,0.097311415,0.3662137,0.5364748,1.0732242,1.8371677,5.4637313,5.9418797,11.487735,14.559087,True,H,N
SC0,28/07/2001 00:00:00,Dundee United,0.5136066,0.37392926,0.11246426,1.3477144,0.7709385,5.408959,2.9555717,10.369288,5.731746,Dundee,0.55596703,0,0.444033,1.5403523,1.2754537,3.8590195,4.80101,8.558112,11.594725,True,D,Y
SC2,04/08/2001 00:00:00,Morton,0.19867091,0.19280662,0.6085225,0.6943062,2.0691364,3.072058,5.760556,7.170047,11.29211,Stenhousemuir,0.2490368,0.11144954,0.6395137,0.8294556,2.1520524,4.531678,5.399407,8.4545765,9.907505,True,H,Y
