ThisDiv,Date,HomeTeam,Hwpg,Hdpg,Hlpg,Hgspg,Hgcpg,Hstfpg,Hstapg,Hsfpg,Hsapg,AwayTeam,Awpg,Adpg,Alpg,Agspg,Agcpg,Astfpg,Astapg,Asfpg,Asapg,RowValid,FTR,Over
SC1,01/05/2001 00:00:00,Livingston,0.7224114,0.1645442,0.113044344,2.1426706,0.50117385,6.294898,2.3178601,13.63082,6.351506,Airdrie,0.14270562,0.42432258,0.43297186,0.94359905,2.6566942,4.0657034,6.6634336,8.808799,12.581746,True,H,Y
E3,01/05/2001 00:00:00,Mansfield,0.4854586,0.25180137,0.26274002,1.4872925,1.0598707,7.2189326,5.545296,13.36299,10.189848,Darlington,0.085743144,0.32395837,0.5902985,0.59137547,1.4279398,3.249577,5.7965713,8.687297,12.4907255,True,H,Y
E2,01/05/2001 00:00:00,Oxford,0.29903638,0.082700275,0.6182633,1.1528786,1.6411632,4.234865,5.251994,8.449935,10.965314,Port Vale,0.4915541,0.27598083,0.23246515,1.2475303,0.6331294,4.7703605,5.2107077,10.156664,11.078613,True,D,N
E1,06/05/2001 00:00:00,Stockport,0.40895054,0.509888,0.08116148,1.3880439,0.63919395,4.4325333,3.1352599,11.558401,7.9878073,Crystal Palace,0.27370152,0.29403606,0.4322625,1.459815,1.7052237,6.4864793,5.497237,12.269922,12.33647,True,A,N
D1,06/05/2001 00:00:00,Werder Bremen,0.68268687,0.044771846,0.2725414,2.1154945,1.2360673,6.271993,4.899387,15.49252,11.062894,Unterhaching,0.0531508,0.35057166,0.59627765,0.7638938,2.164061,3.4416401,5.667703,7.330834,13.784422,True,D,N
E0,07/05/2001 00:00:00,Ipswich,0.66965353,0.19434309,0.1360034,1.7691946,0.63620275,6.651003,2.8203056,14.388269,7.0698433,Man City,0.22845995,0.5293515,0.24218859,1.240559,1.382422,3.7649722,6.2605877,9.257077,12.600391,True,H,Y
D1,19/05/2001 00:00:00,Schalke 04,0.70738447,0.196386,0.09622953,1.961891,0.6904766,6.124678,3.2609951,14.228464,7.5771937,Unterhaching,0.04734057,0.4215645,0.53109497,0.60679746,1.8539041,3.6855838,5.192105,7.7697973,12.8923855,True,H,Y
SC0,20/05/2001 00:00:00,Hearts,0.61287,0.06841272,0.3187174,2.317429,1.3042257,7.790202,5.3559933,14.308203,10.825132,Dundee,0.673385,0,0.32661507,1.8301328,1.0903,4.1075344,4.3806458,8.62969,11.717114,True,H,N
SC0,20/05/2001 00:00:00,Rangers,0.63639784,0,0.36360216,1.7217872,1.0818727,7.2095246,3.7031217,14.421935,6.775071,Hibernian,0.26286146,0.30844024,0.42869833,1.0088778,1.0894858,4.0804324,5.564882,9.677261,12.466544,True,H,Y
D1,04/08/2001 00:00:00,Hansa Rostock,0.61943394,0.25654304,0.12402306,1.4608523,0.840849,4.412429,4.331585,11.05872,11.812664,Leverkusen,0.497038,0.15699543,0.34596652,1.4808921,1.1617103,3.7999406,5.5415044,9.887196,11.242006,True,A,Y
SC0,04/08/2001 00:00:00,Hearts,0.6607801,0.059946146,0.27927375,2.2364886,1.1428182,7.4841285,5.064421,13.357259,10.558813,Aberdeen,0.3598628,0.25073546,0.38940173,1.3106165,1.2453979,4.164598,7.176982,8.332383,12.870118,True,H,N
D1,04/08/2001 00:00:00,Hertha,0.5674537,0.20049112,0.23205517,1.6532687,1.1385964,5.1668863,3.323117,12.989442,9.414929,Dortmund,0.37260064,0.42483592,0.20256348,1.6620334,0.9059442,5.3469043,5.745705,12.572329,14.044409,True,A,N
SC2,11/08/2001 00:00:00,Cowdenbeath,0.70610464,0.1800715,0.11382381,1.9411393,1.1124111,5.9371715,3.8776312,11.58902,7.8886504,Berwick,0.26836047,0.42595872,0.30568072,1.2381485,1.2591809,4.851221,6.1663165,8.879763,11.452967,True,H,Y
D1,11/08/2001 00:00:00,Dortmund,0.5332698,0.38762546,0.07910471,2.361972,0.89906347,8.436259,2.7478101,17.575094,7.0121694,Wolfsburg,0.2018645,0.22492844,0.5732071,1.2074372,1.7621497,4.9886823,5.9646497,9.946401,11.478549,True,H,Y
SC0,11/08/2001 00:00:00,Dundee,0.3308275,0.21646462,0.45270786,1.090739,1.5298705,4.752079,3.7782922,9.3506365,8.002429,Livingston,0.45688996,0.3831692,0.15994087,1.1379797,0.739161,4.3543386,4.435035,8.931533,8.031003,True,H,N
E2,11/08/2001 00:00:00,QPR,0.2673244,0.22393559,0.5087401,0.96310776,1.4797904,5.205776,5.1151457,9.023017,9.343716,Stoke,0.38885623,0.21778366,0.39336008,1.2696501,1.1625074,3.9179668,3.7827685,8.523582,9.275078,True,H,N
SC2,11/08/2001 00:00:00,Queen of Sth,0.2973226,0.20964615,0.49303126,1.3192649,1.7133418,4.894008,6.2213674,9.611665,10.323088,Forfar,0.35135198,0.15861458,0.49003345,1.0404798,1.3429146,4.956788,4.0711145,10.76914,9.107712,True,A,Y
SC3,11/08/2001 00:00:00,Queens Park,0.1246059,0.36635318,0.5090409,0.5905009,1.2535713,3.266819,3.7822793,7.469449,8.866297,Elgin,0.08222577,0.2806273,0.6371469,0.4743786,1.5153555,3.049209,4.9467616,7.46419,10.426612,True,D,N
E1,18/08/2001 00:00:00,Barnsley,0.42954165,0.07855688,0.49190152,1.1354085,1.3049221,5.6466517,4.170388,11.901401,9.36391,Nottm Forest,0.24151681,0.30218717,0.45629603,1.1113621,1.3670152,4.9874043,6.6667027,9.903165,13.138921,True,H,Y
