league,date,home,away,p(H),p(D),p(A),ftr
E2,21/09/2021 00:00:00,Crewe,Morecambe,0.29307175,0.24227528,0.46465296,
E2,21/09/2021 00:00:00,Portsmouth,Plymouth,0.39725375,0.3090304,0.29371583,
F1,22/09/2021 00:00:00,Monaco,St Etienne,0.545311,0.2611869,0.19350211,
F1,22/09/2021 00:00:00,Nantes,Brest,0.5178969,0.2696248,0.21247834,
F1,22/09/2021 00:00:00,Angers,Marseille,0.3365257,0.3383151,0.3251592,
F1,22/09/2021 00:00:00,Lorient,Nice,0.45119408,0.2243848,0.3244211,
F1,22/09/2021 00:00:00,Metz,Paris SG,0.12265747,0.2289551,0.64838743,
F2,21/09/2021 00:00:00,Amiens,Pau FC,0.27578124,0.32374898,0.40046978,
F2,21/09/2021 00:00:00,Caen,Dijon,0.48461282,0.26694807,0.24843912,
F2,21/09/2021 00:00:00,Grenoble,Nancy,0.505332,0.25476885,0.23989916,
F2,21/09/2021 00:00:00,Le Havre,Quevilly Rouen,0.40608174,0.2681485,0.32576975,
F2,21/09/2021 00:00:00,Valenciennes,Bastia,0.39875695,0.25489613,0.3463469,
G1,22/09/2021 00:00:00,Olympiakos,Apollon,0.69621086,0.21090098,0.09288815,
G1,22/09/2021 00:00:00,AEK,Lamia,0.63170683,0.24112698,0.12716618,
I1,21/09/2021 00:00:00,Bologna,Genoa,0.4557799,0.26578557,0.27843451,
I1,21/09/2021 00:00:00,Fiorentina,Inter,0.21306716,0.24265131,0.54428154,
I1,22/09/2021 00:00:00,Spezia,Juventus,0.19448191,0.23838352,0.56713456,
I1,22/09/2021 00:00:00,Milan,Venezia,0.65126675,0.23220171,0.11653154,
I1,23/09/2021 00:00:00,Torino,Lazio,0.5194024,0.24164416,0.23895343,
I2,21/09/2021 00:00:00,Pisa,Monza,0.47757167,0.25004253,0.2723858,
I2,21/09/2021 00:00:00,Spal,Vicenza,0.5713385,0.22169918,0.20696236,
I2,22/09/2021 00:00:00,Cremonese,Perugia,0.3960277,0.26605278,0.3379195,
N1,21/09/2021 00:00:00,Waalwijk,Willem II,0.28631464,0.2796082,0.43407717,
N1,22/09/2021 00:00:00,Feyenoord,Heerenveen,0.70997465,0.21658352,0.0734418,
SP1,21/09/2021 00:00:00,Getafe,Ath Madrid,0.22012326,0.29614785,0.4837289,
SP1,21/09/2021 00:00:00,Levante,Celta,0.28049654,0.2780417,0.44146177,
SP1,22/09/2021 00:00:00,Sevilla,Valencia,0.57947165,0.23568605,0.18484233,
SP1,22/09/2021 00:00:00,Villarreal,Elche,0.58806103,0.22364116,0.1882978,
SP1,23/09/2021 00:00:00,Osasuna,Betis,0.28343394,0.32268602,0.39388007,
T1,21/09/2021 00:00:00,Karagumruk,Antalyaspor,0.5209434,0.28235373,0.19670287,
T1,22/09/2021 00:00:00,Gaziantep,Buyuksehyr,0.37929195,0.25283837,0.36786968,
T1,22/09/2021 00:00:00,Kayserispor,Galatasaray,0.30652294,0.24935788,0.4441192,
T1,23/09/2021 00:00:00,Alanyaspor,Kasimpasa,0.43925554,0.27423072,0.28651375,
