Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
B1,22/09/2021,19:45,Antwerp,Genk,,,,,,,2.9,3.6,2.05,3.25,3.9,2.05,2.95,3.75,2.1,3.16,3.94,2.1,3.1,3.5,2.1,3,3.75,2.15,3.25,3.99,2.26,3.05,3.8,2.11,1.57,2.35,1.55,2.48,1.58,2.5,1.55,2.41,0.25,1.95,1.9,2.01,1.85,2.01,1.97,1.96,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,23/09/2021,19:45,Anderlecht,Gent,,,,,,,2.15,3.4,2.9,2.2,3.6,3.1,2.15,3.55,3.05,2.17,3.68,3.21,2.25,3.4,2.9,2.15,3.5,3.1,2.23,3.76,3.3,2.15,3.58,3.12,1.7,2.1,1.75,2.11,1.78,2.25,1.73,2.09,-0.25,1.88,1.98,1.89,1.96,1.93,2.04,1.89,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,21/09/2021,19:45,Crewe,Morecambe,,,,,,,2.15,3.3,3.5,2.2,3.2,3.25,2.15,3,3.4,2.22,3.25,3.63,2.15,3.1,3.3,2.2,3.3,3.4,2.25,3.4,3.63,2.19,3.21,3.42,2.1,1.7,2.15,1.75,2.23,1.77,2.13,1.7,-0.25,1.88,1.98,1.89,2,1.94,2.03,1.88,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,21/09/2021,19:45,Gillingham,Charlton,,,,,,,3.1,3.3,2.3,2.8,3.25,2.4,2.95,3.1,2.3,3.22,3.36,2.35,2.9,3.2,2.3,3,3.3,2.38,3.22,3.54,2.44,3.05,3.28,2.33,1.95,1.85,1.99,1.88,2.03,1.92,1.96,1.84,0.25,1.85,2,1.88,2.01,1.89,2.07,1.83,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,21/09/2021,19:45,Portsmouth,Plymouth,,,,,,,2.05,3.3,3.8,1.98,3.3,3.7,2.05,3.1,3.6,2.08,3.36,3.93,2,3.2,3.7,2.05,3.4,3.7,2.13,3.48,4.15,2.05,3.3,3.74,2.05,1.75,2.08,1.79,2.1,1.82,2.03,1.77,-0.5,2.05,1.8,2.08,1.83,2.12,1.88,2.04,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,21/09/2021,19:45,Crawley Town,Harrogate,,,,,,,2.8,3.25,2.55,2.7,3.2,2.55,2.65,3,2.55,2.78,3.32,2.69,2.75,3,2.55,2.7,3.3,2.6,2.85,3.33,2.71,2.75,3.21,2.57,2,1.8,1.99,1.88,2.06,1.89,1.97,1.82,0,1.98,1.88,1.98,1.91,2.04,1.92,1.98,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,21/09/2021,19:45,Dover Athletic,Solihull,,,,,,,6.5,4.2,1.5,5.25,4,1.55,5,3.9,1.55,5.76,3.96,1.6,5.5,3.8,1.52,5.75,4,1.53,6.5,4.2,1.61,5.41,3.93,1.56,1.75,2.05,1.79,2.04,1.79,2.11,1.74,2.02,1,1.85,1.95,1.85,2.01,1.92,2.01,1.84,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,22/09/2021,18:00,Lille,Reims,,,,,,,1.66,3.6,5.25,1.7,3.75,5.25,1.7,3.65,5.25,1.73,3.77,5.54,1.67,3.6,5.25,1.7,3.5,5.5,1.75,3.85,5.6,1.71,3.68,5.26,2.2,1.66,2.23,1.72,2.26,1.76,2.17,1.7,-0.75,1.96,1.94,1.98,1.94,1.98,1.98,1.94,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,22/09/2021,18:00,Monaco,St Etienne,,,,,,,1.53,4,6.5,1.57,4.1,6,1.53,4.3,6,1.53,4.45,6.85,1.5,4.2,6,1.5,4.2,6.5,1.57,4.6,6.9,1.53,4.32,6.25,1.8,2,1.88,2.03,1.9,2.1,1.83,2,-1,1.93,1.97,1.93,1.99,1.97,2.04,1.91,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,22/09/2021,18:00,Montpellier,Bordeaux,,,,,,,1.9,3.6,3.8,1.95,3.6,3.8,2,3.7,3.6,2.02,3.82,3.77,1.95,3.6,3.6,1.95,3.6,3.7,2.04,3.86,3.81,1.98,3.69,3.67,1.72,2.1,1.75,2.18,1.81,2.18,1.74,2.1,-0.5,2.01,1.89,2.02,1.91,2.02,1.94,1.98,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
