league,date,home,away,probh,probd,proba,probOver,probUnder
E2,21/09/2021 00:00:00,Crewe,Morecambe,0.29307175,0.24227528,0.46465296,0.49277207,0.50722796
E2,21/09/2021 00:00:00,Portsmouth,Plymouth,0.39725375,0.3090304,0.29371583,0.49093685,0.5090631
F1,22/09/2021 00:00:00,Monaco,St Etienne,0.545311,0.2611869,0.19350211,0.4937989,0.5062011
F1,22/09/2021 00:00:00,Nantes,Brest,0.5178969,0.2696248,0.21247834,0.489591,0.510409
F1,22/09/2021 00:00:00,Angers,Marseille,0.3365257,0.3383151,0.3251592,0.44812673,0.55187327
F1,22/09/2021 00:00:00,Lorient,Nice,0.45119408,0.2243848,0.3244211,0.47340035,0.52659965
F1,22/09/2021 00:00:00,Metz,Paris SG,0.12265747,0.2289551,0.64838743,0.4903594,0.50964063
F2,21/09/2021 00:00:00,Amiens,Pau FC,0.27578124,0.32374898,0.40046978,0.47195718,0.5280428
F2,21/09/2021 00:00:00,Caen,Dijon,0.48461282,0.26694807,0.24843912,0.48804426,0.51195574
F2,21/09/2021 00:00:00,Grenoble,Nancy,0.505332,0.25476885,0.23989916,0.49805224,0.50194776
F2,21/09/2021 00:00:00,Le Havre,Quevilly Rouen,0.40608174,0.2681485,0.32576975,0.47124407,0.5287559
F2,21/09/2021 00:00:00,Valenciennes,Bastia,0.39875695,0.25489613,0.3463469,0.4890112,0.51098883
G1,22/09/2021 00:00:00,Olympiakos,Apollon,0.69621086,0.21090098,0.09288815,0.4901343,0.5098657
G1,22/09/2021 00:00:00,AEK,Lamia,0.63170683,0.24112698,0.12716618,0.45251858,0.5474814
I1,21/09/2021 00:00:00,Bologna,Genoa,0.4557799,0.26578557,0.27843451,0.5305941,0.46940586
I1,21/09/2021 00:00:00,Fiorentina,Inter,0.21306716,0.24265131,0.54428154,0.498475,0.50152504
I1,22/09/2021 00:00:00,Spezia,Juventus,0.19448191,0.23838352,0.56713456,0.53947663,0.46052337
I1,22/09/2021 00:00:00,Milan,Venezia,0.65126675,0.23220171,0.11653154,0.50048566,0.4995143
I1,23/09/2021 00:00:00,Torino,Lazio,0.5194024,0.24164416,0.23895343,0.5103775,0.4896225
I2,21/09/2021 00:00:00,Pisa,Monza,0.47757167,0.25004253,0.2723858,0.49229208,0.50770795
I2,21/09/2021 00:00:00,Spal,Vicenza,0.5713385,0.22169918,0.20696236,0.53116906,0.46883097
I2,22/09/2021 00:00:00,Cremonese,Perugia,0.3960277,0.26605278,0.3379195,0.48119256,0.5188074
N1,21/09/2021 00:00:00,Waalwijk,Willem II,0.28631464,0.2796082,0.43407717,0.48431247,0.5156875
N1,22/09/2021 00:00:00,Feyenoord,Heerenveen,0.70997465,0.21658352,0.0734418,0.5137318,0.4862682
SP1,21/09/2021 00:00:00,Getafe,Ath Madrid,0.22012326,0.29614785,0.4837289,0.45549762,0.5445024
SP1,21/09/2021 00:00:00,Levante,Celta,0.28049654,0.2780417,0.44146177,0.46749693,0.53250307
SP1,22/09/2021 00:00:00,Sevilla,Valencia,0.57947165,0.23568605,0.18484233,0.4855738,0.51442623
SP1,22/09/2021 00:00:00,Villarreal,Elche,0.58806103,0.22364116,0.1882978,0.50064284,0.49935716
SP1,23/09/2021 00:00:00,Osasuna,Betis,0.28343394,0.32268602,0.39388007,0.4629143,0.5370857
T1,21/09/2021 00:00:00,Karagumruk,Antalyaspor,0.5209434,0.28235373,0.19670287,0.49739733,0.5026027
T1,22/09/2021 00:00:00,Gaziantep,Buyuksehyr,0.37929195,0.25283837,0.36786968,0.48598537,0.5140146
T1,22/09/2021 00:00:00,Kayserispor,Galatasaray,0.30652294,0.24935788,0.4441192,0.5048231,0.4951769
T1,23/09/2021 00:00:00,Alanyaspor,Kasimpasa,0.43925554,0.27423072,0.28651375,0.4948855,0.5051145
