league,date,home,away,probOver,probUnder,
E2,21/09/2021 00:00:00,Crewe,Morecambe,0.49277207,0.50722796,
E2,21/09/2021 00:00:00,Portsmouth,Plymouth,0.49093685,0.5090631,
F1,22/09/2021 00:00:00,Monaco,St Etienne,0.4937989,0.5062011,
F1,22/09/2021 00:00:00,Nantes,Brest,0.489591,0.510409,
F1,22/09/2021 00:00:00,Angers,Marseille,0.44812673,0.55187327,
F1,22/09/2021 00:00:00,Lorient,Nice,0.47340035,0.52659965,
F1,22/09/2021 00:00:00,Metz,Paris SG,0.4903594,0.50964063,
F2,21/09/2021 00:00:00,Amiens,Pau FC,0.47195718,0.5280428,
F2,21/09/2021 00:00:00,Caen,Dijon,0.48804426,0.51195574,
F2,21/09/2021 00:00:00,Grenoble,Nancy,0.49805224,0.50194776,
F2,21/09/2021 00:00:00,Le Havre,Quevilly Rouen,0.47124407,0.5287559,
F2,21/09/2021 00:00:00,Valenciennes,Bastia,0.4890112,0.51098883,
G1,22/09/2021 00:00:00,Olympiakos,Apollon,0.4901343,0.5098657,
G1,22/09/2021 00:00:00,AEK,Lamia,0.45251858,0.5474814,
I1,21/09/2021 00:00:00,Bologna,Genoa,0.5305941,0.46940586,
I1,21/09/2021 00:00:00,Fiorentina,Inter,0.498475,0.50152504,
I1,22/09/2021 00:00:00,Spezia,Juventus,0.53947663,0.46052337,
I1,22/09/2021 00:00:00,Milan,Venezia,0.50048566,0.4995143,
I1,23/09/2021 00:00:00,Torino,Lazio,0.5103775,0.4896225,
I2,21/09/2021 00:00:00,Pisa,Monza,0.49229208,0.50770795,
I2,21/09/2021 00:00:00,Spal,Vicenza,0.53116906,0.46883097,
I2,22/09/2021 00:00:00,Cremonese,Perugia,0.48119256,0.5188074,
N1,21/09/2021 00:00:00,Waalwijk,Willem II,0.48431247,0.5156875,
N1,22/09/2021 00:00:00,Feyenoord,Heerenveen,0.5137318,0.4862682,
SP1,21/09/2021 00:00:00,Getafe,Ath Madrid,0.45549762,0.5445024,
SP1,21/09/2021 00:00:00,Levante,Celta,0.46749693,0.53250307,
SP1,22/09/2021 00:00:00,Sevilla,Valencia,0.4855738,0.51442623,
SP1,22/09/2021 00:00:00,Villarreal,Elche,0.50064284,0.49935716,
SP1,23/09/2021 00:00:00,Osasuna,Betis,0.4629143,0.5370857,
T1,21/09/2021 00:00:00,Karagumruk,Antalyaspor,0.49739733,0.5026027,
T1,22/09/2021 00:00:00,Gaziantep,Buyuksehyr,0.48598537,0.5140146,
T1,22/09/2021 00:00:00,Kayserispor,Galatasaray,0.5048231,0.4951769,
T1,23/09/2021 00:00:00,Alanyaspor,Kasimpasa,0.4948855,0.5051145,
