league,date,home,away,probh,probd,proba,
E1,02/11/2021 00:00:00,Birmingham,Bristol City,0.4884884,0.27081227,0.2406993,
E1,02/11/2021 00:00:00,Coventry,Swansea,0.6125765,0.2316994,0.1557241,
E1,02/11/2021 00:00:00,Luton,Middlesbrough,0.41754237,0.27965128,0.30280635,
E1,02/11/2021 00:00:00,Millwall,Reading,0.57111853,0.26395354,0.1649279,
E1,02/11/2021 00:00:00,Nottm Forest,Sheffield United,0.35633987,0.2911148,0.35254532,
E1,02/11/2021 00:00:00,Peterboro,Huddersfield,0.39660028,0.27503473,0.328365,
E1,03/11/2021 00:00:00,Barnsley,Derby,0.3876176,0.3349405,0.27744192,
E1,03/11/2021 00:00:00,Blackburn,Fulham,0.37421137,0.20922592,0.4165627,
E1,03/11/2021 00:00:00,Blackpool,Stoke,0.3765756,0.26788065,0.35554376,
E1,03/11/2021 00:00:00,Bournemouth,Preston,0.5119957,0.2651315,0.22287282,
E1,03/11/2021 00:00:00,Cardiff,QPR,0.30676308,0.2690655,0.42417145,
E1,03/11/2021 00:00:00,West Brom,Hull,0.57372355,0.2383942,0.18788221,
E2,02/11/2021 00:00:00,Charlton,Rotherham,0.25821498,0.25783813,0.4839469,
E2,02/11/2021 00:00:00,Crewe,Doncaster,0.46836385,0.2709935,0.26064265,
E2,02/11/2021 00:00:00,Fleetwood Town,Wigan,0.20892367,0.21000198,0.58107436,
E2,02/11/2021 00:00:00,Morecambe,Cambridge,0.3272515,0.27034906,0.40239942,
E2,02/11/2021 00:00:00,Portsmouth,Cheltenham,0.46688414,0.27351245,0.25960338,
E2,02/11/2021 00:00:00,Sheffield Weds,Sunderland,0.3997277,0.27589253,0.32437977,
E2,02/11/2021 00:00:00,Wycombe,Ipswich,0.51254374,0.21174954,0.27570674,
SC0,30/10/2021 00:00:00,Ross County,Hibernian,0.3121038,0.2791198,0.40877643,
SP2,02/11/2021 00:00:00,Ponferradina,Huesca,0.4860789,0.25824788,0.25567323,
SP2,02/11/2021 00:00:00,Sp Gijon,Almeria,0.45773533,0.22239834,0.31986633,
SP2,02/11/2021 00:00:00,Leganes,Cartagena,0.528844,0.26712507,0.20403092,
SP2,03/11/2021 00:00:00,Mirandes,Lugo,0.37907118,0.30751213,0.31341666,
SP2,03/11/2021 00:00:00,Eibar,Oviedo,0.5110846,0.28489935,0.20401603,
SP2,03/11/2021 00:00:00,Las Palmas,Fuenlabrada,0.51924586,0.2537816,0.22697252,
SP2,04/11/2021 00:00:00,Girona,Alcorcon,0.5475863,0.2613919,0.19102176,
